lambda_bin_x lambda_bin_y lambda_jpdf
-296969.69696969696 -15.0 0.0
-296969.69696969696 -14.696969696969697 0.0
-296969.69696969696 -14.393939393939394 0.0
-296969.69696969696 -14.09090909090909 0.0
-296969.69696969696 -13.787878787878787 0.0
-296969.69696969696 -13.484848484848484 0.0
-296969.69696969696 -13.181818181818182 0.0
-296969.69696969696 -12.878787878787879 0.0
-296969.69696969696 -12.575757575757576 0.0
-296969.69696969696 -12.272727272727273 0.0
-296969.69696969696 -11.969696969696969 0.0
-296969.69696969696 -11.666666666666666 0.0
-296969.69696969696 -11.363636363636363 0.0
-296969.69696969696 -11.06060606060606 0.0
-296969.69696969696 -10.757575757575758 0.0
-296969.69696969696 -10.454545454545453 0.0
-296969.69696969696 -10.151515151515152 0.0
-296969.69696969696 -9.848484848484848 0.0
-296969.69696969696 -9.545454545454545 0.0
-296969.69696969696 -9.242424242424242 0.0
-296969.69696969696 -8.93939393939394 0.0
-296969.69696969696 -8.636363636363637 0.0
-296969.69696969696 -8.333333333333332 0.0
-296969.69696969696 -8.030303030303031 0.0
-296969.69696969696 -7.727272727272727 0.0
-296969.69696969696 -7.424242424242424 0.0
-296969.69696969696 -7.121212121212121 0.0
-296969.69696969696 -6.818181818181818 0.0
-296969.69696969696 -6.515151515151516 0.0
-296969.69696969696 -6.212121212121211 0.0
-296969.69696969696 -5.909090909090908 0.0
-296969.69696969696 -5.6060606060606055 0.0
-296969.69696969696 -5.303030303030303 0.0
-296969.69696969696 -5.0 0.0
-296969.69696969696 -4.696969696969697 0.0
-296969.69696969696 -4.3939393939393945 0.0
-296969.69696969696 -4.09090909090909 0.0
-296969.69696969696 -3.787878787878787 0.0
-296969.69696969696 -3.4848484848484844 0.0
-296969.69696969696 -3.1818181818181817 0.0
-296969.69696969696 -2.878787878787879 0.0
-296969.69696969696 -2.575757575757576 0.0
-296969.69696969696 -2.2727272727272716 0.0
-296969.69696969696 -1.9696969696969688 0.0
-296969.69696969696 -1.666666666666666 0.0
-296969.69696969696 -1.3636363636363633 0.0
-296969.69696969696 -1.0606060606060606 0.0
-296969.69696969696 -0.7575757575757578 0.0
-296969.69696969696 -0.45454545454545325 0.0
-296969.69696969696 -0.1515151515151505 0.0
-296969.69696969696 0.15151515151515227 0.0
-296969.69696969696 0.45454545454545503 0.0
-296969.69696969696 0.7575757575757578 0.0
-296969.69696969696 1.0606060606060623 0.0
-296969.69696969696 1.3636363636363633 0.0
-296969.69696969696 1.6666666666666679 0.0
-296969.69696969696 1.9696969696969688 0.0
-296969.69696969696 2.2727272727272734 0.0
-296969.69696969696 2.575757575757578 0.0
-296969.69696969696 2.878787878787879 0.0
-296969.69696969696 3.1818181818181834 0.0
-296969.69696969696 3.4848484848484844 0.0
-296969.69696969696 3.787878787878789 0.0
-296969.69696969696 4.09090909090909 0.0
-296969.69696969696 4.3939393939393945 0.0
-296969.69696969696 4.696969696969699 0.0
-296969.69696969696 5.0 0.0
-296969.69696969696 5.3030303030303045 0.0
-296969.69696969696 5.6060606060606055 0.0
-296969.69696969696 5.90909090909091 0.0
-296969.69696969696 6.212121212121211 0.0
-296969.69696969696 6.515151515151516 0.0
-296969.69696969696 6.81818181818182 0.0
-296969.69696969696 7.121212121212121 0.0
-296969.69696969696 7.424242424242426 0.0
-296969.69696969696 7.727272727272727 0.0
-296969.69696969696 8.030303030303031 0.0
-296969.69696969696 8.333333333333336 0.0
-296969.69696969696 8.636363636363637 0.0
-296969.69696969696 8.939393939393941 0.0
-296969.69696969696 9.242424242424242 0.0
-296969.69696969696 9.545454545454547 0.0
-296969.69696969696 9.848484848484848 0.0
-296969.69696969696 10.151515151515152 0.0
-296969.69696969696 10.454545454545457 0.0
-296969.69696969696 10.757575757575758 0.0
-296969.69696969696 11.060606060606062 0.0
-296969.69696969696 11.363636363636363 0.0
-296969.69696969696 11.666666666666668 0.0
-296969.69696969696 11.969696969696969 0.0
-296969.69696969696 12.272727272727273 0.0
-296969.69696969696 12.575757575757578 0.0
-296969.69696969696 12.878787878787879 0.0
-296969.69696969696 13.181818181818183 0.0
-296969.69696969696 13.484848484848484 0.0
-296969.69696969696 13.787878787878789 0.0
-296969.69696969696 14.090909090909093 0.0
-296969.69696969696 14.393939393939394 0.0
-296969.69696969696 14.696969696969699 0.0
-290909.09090909094 -15.0 0.0
-290909.09090909094 -14.696969696969697 0.0
-290909.09090909094 -14.393939393939394 0.0
-290909.09090909094 -14.09090909090909 0.0
-290909.09090909094 -13.787878787878787 0.0
-290909.09090909094 -13.484848484848484 0.0
-290909.09090909094 -13.181818181818182 0.0
-290909.09090909094 -12.878787878787879 0.0
-290909.09090909094 -12.575757575757576 0.0
-290909.09090909094 -12.272727272727273 0.0
-290909.09090909094 -11.969696969696969 0.0
-290909.09090909094 -11.666666666666666 0.0
-290909.09090909094 -11.363636363636363 0.0
-290909.09090909094 -11.06060606060606 0.0
-290909.09090909094 -10.757575757575758 0.0
-290909.09090909094 -10.454545454545453 0.0
-290909.09090909094 -10.151515151515152 0.0
-290909.09090909094 -9.848484848484848 0.0
-290909.09090909094 -9.545454545454545 0.0
-290909.09090909094 -9.242424242424242 0.0
-290909.09090909094 -8.93939393939394 0.0
-290909.09090909094 -8.636363636363637 0.0
-290909.09090909094 -8.333333333333332 0.0
-290909.09090909094 -8.030303030303031 0.0
-290909.09090909094 -7.727272727272727 0.0
-290909.09090909094 -7.424242424242424 0.0
-290909.09090909094 -7.121212121212121 0.0
-290909.09090909094 -6.818181818181818 0.0
-290909.09090909094 -6.515151515151516 0.0
-290909.09090909094 -6.212121212121211 0.0
-290909.09090909094 -5.909090909090908 0.0
-290909.09090909094 -5.6060606060606055 0.0
-290909.09090909094 -5.303030303030303 0.0
-290909.09090909094 -5.0 0.0
-290909.09090909094 -4.696969696969697 0.0
-290909.09090909094 -4.3939393939393945 0.0
-290909.09090909094 -4.09090909090909 0.0
-290909.09090909094 -3.787878787878787 0.0
-290909.09090909094 -3.4848484848484844 0.0
