prod_rate_bin prod_rate
125.62814070351759 0.003901228624292149
376.88442211055275 7.133309660418262e-05
628.1407035175879 5.5043265367148235e-06
879.3969849246231 1.6364214028071091e-06
1130.6532663316582 2.9753116414674727e-07
1381.9095477386934 0.0
1633.1658291457286 0.0
1884.4221105527638 0.0
2135.678391959799 0.0
2386.934673366834 0.0
2638.190954773869 0.0
2889.4472361809044 0.0
3140.7035175879396 0.0
3391.959798994975 0.0
3643.21608040201 0.0
3894.472361809045 0.0
4145.72864321608 0.0
4396.984924623115 0.0
4648.24120603015 0.0
4899.497487437186 0.0
5150.753768844221 0.0
5402.010050251256 0.0
5653.266331658291 0.0
5904.522613065326 0.0
6155.778894472362 0.0
6407.035175879397 0.0
6658.291457286432 0.0
6909.547738693467 0.0
7160.804020100502 0.0
7412.060301507538 0.0
7663.316582914573 0.0
7914.572864321608 0.0
8165.829145728643 0.0
8417.085427135677 0.0
8668.341708542714 0.0
8919.597989949747 0.0
9170.854271356784 0.0
9422.110552763817 0.0
9673.366834170854 0.0
9924.623115577888 0.0
10175.879396984925 0.0
10427.135678391958 0.0
10678.391959798995 0.0
10929.648241206029 0.0
11180.904522613066 0.0
11432.160804020099 0.0
11683.417085427136 0.0
11934.67336683417 0.0
12185.929648241206 0.0
12437.18592964824 0.0
12688.442211055277 0.0
12939.69849246231 0.0
13190.954773869347 0.0
13442.21105527638 0.0
13693.467336683418 0.0
13944.723618090451 0.0
14195.979899497488 0.0
14447.236180904521 0.0
14698.492462311558 0.0
14949.748743718592 0.0
15201.005025125629 0.0
15452.261306532662 0.0
15703.5175879397 0.0
15954.773869346733 0.0
16206.03015075377 0.0
16457.286432160803 0.0
16708.54271356784 0.0
16959.798994974873 0.0
17211.055276381907 0.0
17462.311557788944 0.0
17713.56783919598 0.0
17964.824120603014 0.0
18216.080402010048 0.0
18467.336683417085 0.0
18718.59296482412 0.0
18969.849246231155 0.0
19221.10552763819 0.0
19472.361809045226 0.0
19723.618090452263 0.0
19974.874371859296 0.0
20226.13065326633 0.0
20477.386934673366 0.0
20728.643216080403 0.0
20979.899497487437 0.0
21231.15577889447 0.0
21482.412060301507 0.0
21733.668341708544 0.0
21984.924623115578 0.0
22236.18090452261 0.0
22487.437185929648 0.0
22738.693467336685 0.0
22989.94974874372 0.0
23241.20603015075 0.0
23492.46231155779 0.0
23743.718592964826 0.0
23994.97487437186 0.0
24246.231155778893 0.0
24497.48743718593 0.0
24748.743718592967 0.0
25000.0 0.0
25251.256281407033 0.0
25502.51256281407 0.0
25753.768844221107 0.0
26005.02512562814 0.0
26256.281407035174 0.0
26507.53768844221 0.0
26758.79396984925 0.0
27010.05025125628 0.0
27261.306532663315 0.0
27512.562814070352 0.0
27763.81909547739 0.0
28015.075376884422 0.0
28266.331658291456 0.0
28517.587939698493 0.0
28768.84422110553 0.0
29020.100502512563 0.0
29271.356783919597 0.0
29522.613065326634 0.0
29773.86934673367 0.0
30025.125628140704 0.0
30276.381909547737 0.0
30527.638190954774 0.0
30778.89447236181 0.0
31030.150753768845 0.0
31281.40703517588 0.0
31532.663316582915 0.0
31783.919597989952 0.0
32035.175879396986 0.0
32286.43216080402 0.0
32537.688442211052 0.0
32788.944723618086 0.0
33040.20100502513 0.0
33291.45728643216 0.0
33542.71356783919 0.0
33793.969849246234 0.0
34045.22613065326 0.0
34296.4824120603 0.0
34547.73869346734 0.0
34798.99497487437 0.0
35050.25125628141 0.0
35301.50753768844 0.0
35552.763819095475 0.0
35804.020100502516 0.0
36055.27638190954 0.0
36306.53266331658 0.0
36557.78894472362 0.0
36809.04522613065 0.0
37060.30150753769 0.0
37311.55778894472 0.0
37562.81407035176 0.0
37814.0703517588 0.0
38065.32663316582 0.0
38316.582914572864 0.0
38567.839195979905 0.0
38819.09547738693 0.0
39070.35175879397 0.0
39321.608040201005 0.0
39572.86432160804 0.0
39824.12060301508 0.0
40075.376884422105 0.0
40326.633165829146 0.0
40577.889447236186 0.0
40829.14572864321 0.0
41080.40201005025 0.0
41331.65829145729 0.0
41582.91457286432 0.0
41834.17085427136 0.0
42085.42713567839 0.0
42336.68341708543 0.0
42587.93969849247 0.0
42839.195979899494 0.0
43090.452261306535 0.0
43341.70854271357 0.0
43592.9648241206 0.0
43844.22110552764 0.0
44095.47738693467 0.0
44346.73366834171 0.0
44597.98994974875 0.0
44849.246231155776 0.0
45100.502512562816 0.0
45351.75879396985 0.0
45603.01507537688 0.0
45854.271356783924 0.0
46105.52763819095 0.0
46356.78391959799 0.0
46608.04020100503 0.0
46859.29648241206 0.0
47110.5527638191 0.0
47361.80904522613 0.0
47613.065326633165 0.0
47864.321608040205 0.0
48115.57788944723 0.0
48366.83417085427 0.0
48618.090452261305 0.0
48869.34673366834 0.0
49120.60301507538 0.0
49371.859296482406 0.0
49623.115577889446 0.0
49874.37185929649 0.0

125.62814070351759 0.001745791244178947
376.88442211055275 0.0005791828379203428
628.1407035175879 0.0003689693893431339
879.3969849246231 0.0002759647085582943
1130.6532663316582 0.00021469215759041343
1381.9095477386934 0.00016947625489327568
1633.1658291457286 0.00013064489483198256
1884.4221105527638 0.00011096716267822295
2135.678391959799 8.895478433672926e-05
2386.934673366834 7.027761483485567e-05
2638.190954773869 5.379215399901835e-05
2889.4472361809044 4.440592340751559e-05
3140.7035175879396 3.2494463266014625e-05
3391.959798994975 2.60622747896041e-05
3643.21608040201 1.9630086313193585e-05
3894.472361809045 1.648546083583733e-05
4145.72864321608 1.1101480851878917e-05
4396.984924623115 6.8610010415045546e-06
4648.24120603015 5.717500867920462e-06
4899.497487437186 3.6687297235822962e-06
5150.753768844221 2.0487711443381657e-06
5402.010050251256 1.7628961009421424e-06
5653.266331658291 7.146876084900577e-07
5904.522613065326 1.9058336226401537e-07
6155.778894472362 9.529168113200769e-08
6407.035175879397 4.7645840566003844e-08
6658.291457286432 0.0
6909.547738693467 0.0
7160.804020100502 0.0
7412.060301507538 0.0
7663.316582914573 0.0
7914.572864321608 0.0
8165.829145728643 0.0
8417.085427135677 0.0
8668.341708542714 0.0
8919.597989949747 0.0
9170.854271356784 0.0
9422.110552763817 0.0
9673.366834170854 0.0
9924.623115577888 0.0
10175.879396984925 0.0
10427.135678391958 0.0
10678.391959798995 0.0
10929.648241206029 0.0
11180.904522613066 0.0
11432.160804020099 0.0
11683.417085427136 0.0
11934.67336683417 0.0
12185.929648241206 0.0
12437.18592964824 0.0
12688.442211055277 0.0
12939.69849246231 0.0
13190.954773869347 0.0
13442.21105527638 0.0
13693.467336683418 0.0
13944.723618090451 0.0
14195.979899497488 0.0
14447.236180904521 0.0
14698.492462311558 0.0
14949.748743718592 0.0
15201.005025125629 0.0
15452.261306532662 0.0
15703.5175879397 0.0
15954.773869346733 0.0
16206.03015075377 0.0
16457.286432160803 0.0
