s_d_bin lambda_cond_mean
-100.0 nan
-97.97979797979798 nan
-95.95959595959596 nan
-93.93939393939394 nan
-91.91919191919192 nan
-89.8989898989899 nan
-87.87878787878788 nan
-85.85858585858585 nan
-83.83838383838383 nan
-81.81818181818181 nan
-79.79797979797979 nan
-77.77777777777777 nan
-75.75757575757575 nan
-73.73737373737373 nan
-71.71717171717171 nan
-69.69696969696969 nan
-67.67676767676767 nan
-65.65656565656565 -160575.34944722094
-63.63636363636363 nan
-61.61616161616161 nan
-59.59595959595959 nan
-57.57575757575757 nan
-55.55555555555555 nan
-53.53535353535353 -180473.3547529356
-51.515151515151516 -73775.31933176398
-49.494949494949495 -96872.57897784653
-47.474747474747474 -156790.94891306528
-45.45454545454545 -155028.97269670208
-43.43434343434343 nan
-41.41414141414141 -155894.37870105592
-39.39393939393939 -119280.35185314529
-37.37373737373737 -186262.03592036
-35.35353535353535 -202547.65136777837
-33.33333333333333 -122126.77003685482
-31.313131313131308 -138492.9664075307
-29.292929292929287 -167844.1781031854
-27.272727272727266 -116595.85206812946
-25.252525252525245 -123085.8956539051
-23.232323232323225 -133206.14640116077
-21.212121212121204 -131085.40391659885
-19.191919191919183 -129463.73036064909
-17.171717171717162 -111166.81100012647
-15.151515151515142 -128912.88571810693
-13.13131313131312 -130378.25802403988
-11.1111111111111 -123382.76444911741
-9.09090909090908 -114267.73959493372
-7.0707070707070585 -105108.25439928453
-5.050505050505038 -110961.90434879425
-3.030303030303031 -111729.71283987931
-1.0101010101010104 -110103.89591024761
1.0101010101010104 -102703.31087110622
3.030303030303031 -97248.53631207142
5.050505050505052 -92801.50058500888
7.070707070707073 -97660.28127030093
9.090909090909093 -102834.03228304163
11.111111111111114 -115138.75269038085
13.131313131313135 -118755.07443234233
15.151515151515156 -119386.95941630054
17.171717171717177 -118729.54819962975
19.191919191919197 -127762.16941582724
21.212121212121218 -128758.58148908733
23.23232323232324 -135483.58490435415
25.25252525252526 -132805.15975529686
27.27272727272728 -116630.48961144422
29.2929292929293 -132335.44276023726
31.313131313131322 -133720.46897688336
33.33333333333334 -97978.2427962672
35.353535353535364 -128988.56931675285
37.373737373737384 -128250.0322989518
39.393939393939405 -127760.26757570718
41.414141414141426 -131458.211155779
43.43434343434345 -116078.8112800387
45.45454545454547 -129478.64216369214
47.47474747474749 -122682.96611532081
49.49494949494951 -106383.67815270966
51.51515151515153 -117864.71138378748
53.53535353535355 -146512.3453326419
55.55555555555557 -157603.47474821677
57.57575757575759 -135163.8964489388
59.59595959595961 -126702.55827672288
61.616161616161634 -93040.9875729985
63.636363636363654 -124893.11728502547
