lambda_bin lambda_pdf
-994974.8743718592 6.691739535791486e-09
-984924.623115578 9.44716169758798e-09
-974874.3718592965 6.822950114924652e-09
-964824.1206030152 8.135055906256317e-09
-954773.8693467337 1.0103214593253695e-08
-944723.6180904522 1.1808952121984975e-08
-934673.3668341709 1.0365635751520143e-08
-924623.1155778894 1.56140589168468e-08
-914572.8643216081 1.587648007511313e-08
-904522.6130653266 1.7844638762110627e-08
-894472.3618090453 1.889432339517596e-08
-884422.1105527638 2.4798799456168444e-08
-874371.8592964825 2.5848484089233776e-08
-864321.608040201 2.939116972582893e-08
-854271.3567839195 3.135932841282677e-08
-844221.1055276382 3.8051067948618256e-08
-834170.8542713567 4.1593753585213745e-08
-824120.6030150754 4.789186138360573e-08
-814070.3517587939 5.576449613159571e-08
-804020.1005025127 6.16689721925882e-08
-793969.8492462311 7.216581852324151e-08
-783919.5979899499 7.479003010590485e-08
-773869.3467336684 8.869835149401944e-08
-763819.095477387 9.60461439254789e-08
-753768.8442211056 1.0824872778486101e-07
-743718.592964824 1.256997348095734e-07
-733668.3417085428 1.4183863604295286e-07
-723618.0904522613 1.4328195241341768e-07
-713567.83919598 1.5981448538419666e-07
-703517.5879396985 1.8553175889429513e-07
-693467.3366834171 1.9720950043715136e-07
-683417.0854271357 2.1610382383232253e-07
-673366.8341708543 2.431332031337601e-07
-663316.5829145729 2.6386447463679456e-07
-653266.3316582914 2.912874856756294e-07
-643216.0804020101 3.1962897076839333e-07
-633165.8291457286 3.5846730219181057e-07
-623115.5778894473 3.898266306046373e-07
-613065.3266331658 4.2643438218278585e-07
-603015.0753768844 4.53988603800761e-07
-592964.824120603 4.99781095918225e-07
-582914.5728643216 5.412436389243176e-07
-572864.3216080402 5.867737098835132e-07
-562814.0703517587 6.249559884112715e-07
-552763.8190954775 6.817701691759326e-07
-542713.567839196 7.124734446930935e-07
-532663.3165829147 7.837207891624028e-07
-522613.0653266332 8.473579200419885e-07
-512562.8140703518 9.050905748605765e-07
-502512.5628140704 9.271339521549538e-07
-492462.311557789 9.73188865430695e-07
-482412.0603015076 1.0759267488919644e-06
-472361.8090452262 1.1364148258723475e-06
-462311.55778894474 1.212779382927857e-06
-452261.30653266335 1.2652636145811234e-06
-442211.05527638196 1.3344115897843022e-06
-432160.80402010056 1.4127443055268023e-06
-422110.55276381917 1.5308338267466522e-06
-412060.3015075378 1.6033932770072934e-06
-402010.0502512563 1.6714915675773872e-06
-391959.7989949749 1.7519236525860377e-06
-381909.5477386935 1.8284194202206738e-06
-371859.2964824121 1.938373885534267e-06
-361809.0452261307 2.019855655175963e-06
-351758.7939698493 2.117345115471906e-06
-341708.5427135679 2.208142836232057e-06
-331658.2914572865 2.2833264980753614e-06
-321608.0402010051 2.379503852579972e-06
-311557.78894472367 2.5105832211339766e-06
-301507.5376884422 2.5673974018986668e-06
-291457.2864321608 2.656883016867486e-06
-281407.0351758794 2.737708733613517e-06
-271356.78391959803 2.8257510322118713e-06
-261306.53266331664 2.914843015443291e-06
-251256.28140703525 2.987140044545666e-06
-241206.03015075385 3.039886697357199e-06
-231155.77889447246 3.129241101746885e-06
-221105.527638191 3.10234293302455e-06
-211055.27638190956 3.1023429330245857e-06
-201005.02512562816 3.0666536555003647e-06
-190954.77386934677 2.9927820994483925e-06
-180904.52261306538 2.8870263726670605e-06
-170854.27135678398 2.813417237773354e-06
-160804.0201005026 2.6082038920090815e-06
-150753.7688442212 2.3995790711873466e-06
-140703.5175879398 2.1643185028015796e-06
-130653.26633165835 1.9029470291682903e-06
-120603.0150753769 1.5555014156236876e-06
-110552.7638190955 1.2667069309515882e-06
-100502.51256281411 9.350065869029436e-07
-90452.26130653272 6.504108407631057e-07
-80402.01005025132 4.320764370855169e-07
-70351.75879396993 2.685880554855916e-07
-60301.507537688536 1.4629979573348053e-07
-50251.25628140714 8.030087442949783e-08
-40201.00502512575 3.673896215728659e-08
-30150.753768844297 1.4564374283781298e-08
-20100.502512562845 5.379633744459822e-09
-10050.251256281452 1.705737528731163e-09
-5.820766091346741e-11 0.0
10050.251256281335 0.0
20100.50251256273 0.0
30150.753768844123 0.0
40201.005025125516 0.0
50251.25628140691 0.0
60301.50753768836 0.0
70351.75879396976 0.0
80402.01005025115 0.0
90452.26130653254 0.0
100502.51256281394 0.0
110552.76381909545 0.0
120603.01507537684 0.0
130653.26633165823 0.0
140703.51758793963 0.0
150753.76884422102 0.0
160804.0201005024 0.0
170854.2713567838 0.0
180904.5226130652 0.0
190954.7738693466 0.0
201005.0251256281 0.0
211055.2763819095 0.0
221105.5276381909 0.0
231155.77889447229 0.0
241206.03015075368 0.0
251256.28140703507 0.0
261306.53266331647 0.0
271356.78391959786 0.0
281407.03517587925 0.0
291457.28643216076 0.0
301507.53768844216 0.0
311557.78894472355 0.0
321608.04020100494 0.0
331658.29145728634 0.0
341708.54271356773 0.0
351758.7939698491 0.0
361809.0452261305 0.0
371859.2964824119 0.0
381909.5477386934 0.0
391959.7989949748 0.0
402010.0502512562 0.0
412060.3015075376 0.0
422110.552763819 0.0
432160.8040201004 0.0
442211.0552763818 0.0
452261.3065326632 0.0
462311.55778894457 0.0
472361.8090452261 0.0
482412.0603015075 0.0
492462.31155778887 0.0
502512.56281407026 0.0
512562.81407035165 0.0
522613.06532663305 0.0
532663.3165829144 0.0
542713.5678391958 0.0
552763.8190954772 0.0
562814.0703517587 0.0
572864.3216080401 0.0
582914.5728643215 0.0
592964.8241206029 0.0
603015.0753768843 0.0
613065.3266331657 0.0
623115.5778894471 0.0
633165.8291457285 0.0
643216.0804020099 0.0
653266.3316582914 0.0
663316.5829145728 0.0
673366.8341708542 0.0
683417.0854271356 0.0
693467.336683417 0.0
703517.5879396984 0.0
