s_d_c_half_bin_x s_d_c_half_bin_y s_d_c_half_jpdf
-98.98989898989899 0.0 0.0
-98.98989898989899 0.010101010101010102 0.0
-98.98989898989899 0.020202020202020204 0.0
-98.98989898989899 0.030303030303030304 0.0
-98.98989898989899 0.04040404040404041 0.0
-98.98989898989899 0.05050505050505051 0.0
-98.98989898989899 0.06060606060606061 0.0
-98.98989898989899 0.07070707070707072 0.0
-98.98989898989899 0.08080808080808081 0.0
-98.98989898989899 0.09090909090909091 2.970716212672361e-06
-98.98989898989899 0.10101010101010102 0.0
-98.98989898989899 0.11111111111111112 0.0
-98.98989898989899 0.12121212121212122 0.0
-98.98989898989899 0.13131313131313133 0.0
-98.98989898989899 0.14141414141414144 0.0
-98.98989898989899 0.15151515151515152 0.0
-98.98989898989899 0.16161616161616163 0.0
-98.98989898989899 0.17171717171717174 0.0
-98.98989898989899 0.18181818181818182 2.970716212672361e-06
-98.98989898989899 0.19191919191919193 2.970716212672361e-06
-98.98989898989899 0.20202020202020204 2.9707162126723685e-06
-98.98989898989899 0.21212121212121213 0.0
-98.98989898989899 0.22222222222222224 0.0
-98.98989898989899 0.23232323232323235 0.0
-98.98989898989899 0.24242424242424243 0.0
-98.98989898989899 0.25252525252525254 2.970716212672361e-06
-98.98989898989899 0.26262626262626265 0.0
-98.98989898989899 0.27272727272727276 0.0
-98.98989898989899 0.2828282828282829 0.0
-98.98989898989899 0.29292929292929293 0.0
-98.98989898989899 0.30303030303030304 0.0
-98.98989898989899 0.31313131313131315 0.0
-98.98989898989899 0.32323232323232326 0.0
-98.98989898989899 0.33333333333333337 0.0
-98.98989898989899 0.3434343434343435 0.0
-98.98989898989899 0.3535353535353536 0.0
-98.98989898989899 0.36363636363636365 0.0
-98.98989898989899 0.37373737373737376 2.970716212672361e-06
-98.98989898989899 0.38383838383838387 0.0
-98.98989898989899 0.393939393939394 0.0
-98.98989898989899 0.4040404040404041 0.0
-98.98989898989899 0.4141414141414142 0.0
-98.98989898989899 0.42424242424242425 0.0
-98.98989898989899 0.43434343434343436 0.0
-98.98989898989899 0.4444444444444445 0.0
-98.98989898989899 0.4545454545454546 0.0
-98.98989898989899 0.4646464646464647 0.0
-98.98989898989899 0.4747474747474748 0.0
-98.98989898989899 0.48484848484848486 0.0
-98.98989898989899 0.494949494949495 0.0
-98.98989898989899 0.5050505050505051 0.0
