lambda_bin lambda_pdf
-989898.9898989899 2.5209195186160233e-08
-969696.9696969697 2.482136141406546e-08
-949494.9494949495 3.43232888303874e-08
-929292.9292929294 4.88670552839411e-08
-909090.9090909091 5.817506581421593e-08
-888888.8888888889 7.465800112824378e-08
-868686.8686868687 9.152877021436638e-08
-848484.8484848485 1.1499271342610016e-07
-828282.8282828282 1.3942624106807005e-07
-808080.808080808 1.7607653253102686e-07
-787878.7878787878 2.123389902218881e-07
-767676.7676767677 2.6566613388491943e-07
-747474.7474747475 3.552557352388119e-07
-727272.7272727273 3.9791745016923694e-07
-707070.7070707071 5.06898740127868e-07
-686868.6868686869 5.926100037608128e-07
-666666.6666666667 7.167168108311402e-07
-646464.6464646466 8.714624858969496e-07
-626262.6262626263 9.701661808950743e-07
-606060.6060606061 1.1059080011282448e-06
-585858.5858585858 1.2957526325686285e-06
-565656.5656565656 1.408612260248215e-06
-545454.5454545454 1.551722922151186e-06
-525252.5252525252 1.7586322395637474e-06
-505050.50505050505 1.90833607559233e-06
-484848.48484848486 2.041556976306884e-06
-464646.4646464647 2.1517017675817996e-06
-444444.4444444445 2.27929907860098e-06
-424242.42424242425 2.3787784411432752e-06
-404040.404040404 2.4196949040992875e-06
-383838.38383838383 2.5490374670928942e-06
-363636.36363636365 2.5645508179766855e-06
-343434.34343434346 2.536626786385862e-06
-323232.3232323233 2.4635201203459972e-06
-303030.3030303031 2.460611367055286e-06
-282828.28282828286 2.3140102012034487e-06
-262626.2626262626 2.1505382662655153e-06
-242424.24242424243 1.8910774727341122e-06
-222222.22222222225 1.5916698006769478e-06
-202020.20202020206 1.248049078600979e-06
-181818.18181818188 8.326791086874773e-07
-161616.16161616164 5.140736649116184e-07
-141414.1414141414 2.6081821173373477e-07
-121212.12121212122 1.0781778864234684e-07
-101010.10101010103 3.1414535539676594e-08
-80808.08080808085 5.817506581421592e-09
-60606.060606060666 5.817506581421593e-10
-40404.040404040425 0.0
-20202.020202020183 0.0
0.0 0.0
20202.020202020183 0.0
40404.04040404037 0.0
60606.06060606055 0.0
80808.08080808073 0.0
101010.10101010092 0.0
121212.1212121211 0.0
141414.14141414128 0.0
161616.16161616158 0.0
181818.18181818188 0.0
202020.20202020206 0.0
222222.22222222225 0.0
242424.24242424243 0.0
262626.2626262626 0.0
282828.2828282828 0.0
303030.303030303 0.0
323232.32323232316 0.0
343434.34343434335 0.0
363636.36363636353 0.0
383838.3838383837 0.0
404040.4040404039 0.0
424242.4242424242 0.0
444444.4444444445 0.0
464646.4646464647 0.0
484848.48484848486 0.0
505050.50505050505 0.0
525252.5252525252 0.0
545454.5454545454 0.0
565656.5656565656 0.0
585858.5858585858 0.0
606060.606060606 0.0
626262.6262626261 0.0
646464.6464646463 0.0
666666.6666666665 0.0
686868.6868686868 0.0
707070.7070707071 0.0
727272.7272727273 0.0
747474.7474747475 0.0
767676.7676767677 0.0
787878.7878787878 0.0
808080.808080808 0.0
828282.8282828282 0.0
848484.8484848484 0.0
868686.8686868686 0.0
888888.8888888888 0.0
909090.909090909 0.0
929292.9292929292 0.0
949494.9494949495 0.0
969696.9696969697 0.0
989898.9898989899 0.0

-989898.9898989899 2.8314352230541775e-10
-969696.9696969697 0.0
-949494.9494949495 0.0
-929292.9292929294 2.831435223054161e-10
-909090.9090909091 1.132574089221671e-09
-888888.8888888889 1.6988611338325064e-09
-868686.8686868687 8.494305669162532e-10
-848484.8484848485 1.6988611338325064e-09
-828282.8282828282 2.548291700748745e-09
-808080.808080808 3.6808657899704308e-09
-787878.7878787878 5.3797269238029376e-09
-767676.7676767677 6.22915749071919e-09
-747474.7474747475 8.77744919146795e-09
-727272.7272727273 9.91002328068962e-09
-707070.7070707071 1.642232429371423e-08
-686868.6868686869 1.9253759516768406e-08
-666666.6666666667 2.151890769521175e-08
-646464.6464646466 3.256150506512285e-08
-626262.6262626263 4.7851255269615604e-08
-606060.6060606061 6.54061536525515e-08
-585858.5858585858 9.060592713773315e-08
-565656.5656565656 1.2090228402441337e-07
-545454.5454545454 1.5912665953564476e-07
-525252.5252525252 1.8913987290001906e-07
-505050.50505050505 2.9560183728685614e-07
-484848.48484848486 4.074435285974962e-07
-464646.4646464647 5.481658591832887e-07
-444444.4444444445 7.373057320833079e-07
-424242.42424242425 9.759957213867693e-07
-404040.404040404 1.338702573460015e-06
-383838.38383838383 1.668847920468132e-06
-363636.36363636365 2.151041338954259e-06
-343434.34343434346 2.5448939784810948e-06
-323232.3232323233 2.9047693953312807e-06
-303030.3030303031 3.313345498017999e-06
-282828.28282828286 3.747404517712182e-06
-262626.2626262626 4.137576291449069e-06
-242424.24242424243 4.246586547536655e-06
-222222.22222222225 4.381362864154034e-06
-202020.20202020206 4.305763543698487e-06
-181818.18181818188 3.818190398288558e-06
-161616.16161616164 3.1440256716793407e-06
-141414.1414141414 2.2065374693261206e-06
-121212.12121212122 1.2325237525954835e-06
-101010.10101010103 4.56144214434028e-07
-80808.08080808085 1.1127540426602918e-07
-60606.060606060666 1.75548983829359e-08
-40404.040404040425 3.3977222676649933e-09
-20202.020202020183 2.8314352230541775e-10
0.0 0.0
20202.020202020183 0.0
40404.04040404037 0.0
60606.06060606055 0.0
80808.08080808073 0.0
101010.10101010092 0.0
121212.1212121211 0.0
141414.14141414128 0.0
161616.16161616158 0.0
181818.18181818188 0.0
202020.20202020206 0.0
222222.22222222225 0.0
242424.24242424243 0.0
262626.2626262626 0.0
282828.2828282828 0.0
303030.303030303 0.0
323232.32323232316 0.0
343434.34343434335 0.0
363636.36363636353 0.0
383838.3838383837 0.0
404040.4040404039 0.0
424242.4242424242 0.0
444444.4444444445 0.0
464646.4646464647 0.0
484848.48484848486 0.0
505050.50505050505 0.0
525252.5252525252 0.0
545454.5454545454 0.0
565656.5656565656 0.0
585858.5858585858 0.0
606060.606060606 0.0
626262.6262626261 0.0
646464.6464646463 0.0
666666.6666666665 0.0
686868.6868686868 0.0
707070.7070707071 0.0
727272.7272727273 0.0
747474.7474747475 0.0
767676.7676767677 0.0
787878.7878787878 0.0
808080.808080808 0.0
828282.8282828282 0.0
848484.8484848484 0.0
868686.8686868686 0.0
888888.8888888888 0.0
909090.909090909 0.0
929292.9292929292 0.0
949494.9494949495 0.0
969696.9696969697 0.0
989898.9898989899 0.0

-989898.9898989899 0.0
-969696.9696969697 0.0
-949494.9494949495 0.0
-929292.9292929294 0.0
-909090.9090909091 0.0
-888888.8888888889 0.0
-868686.8686868687 0.0
-848484.8484848485 0.0
-828282.8282828282 0.0
-808080.808080808 4.782331459045857e-10
-787878.7878787878 0.0
-767676.7676767677 4.782331459045857e-10
-747474.7474747475 4.782331459045857e-10
-727272.7272727273 0.0
-707070.7070707071 1.9129325836183426e-09
-686868.6868686869 3.825865167236685e-09
-666666.6666666667 5.260564604950443e-09
-646464.6464646466 3.3476320213320808e-09
-626262.6262626263 2.8693988754275143e-09
-606060.6060606061 4.782331459045857e-09
-585858.5858585858 5.738797750854995e-09
-565656.5656565656 1.00428960639963e-08
-545454.5454545454 1.5781693814851327e-08
-525252.5252525252 2.104225841980177e-08
-505050.50505050505 2.3911657295229286e-08
-484848.48484848486 3.204162077560724e-08
-464646.4646464647 5.35621123413136e-08
-444444.4444444445 6.264854211350072e-08
-424242.42424242425 9.947249434815326e-08
-404040.404040404 1.195582864761464e-07
-383838.38383838383 1.9368442409135722e-07
