s_d_bin lambda_cond_mean
-11.666666666666666 -123539.52487681176
-11.363636363636363 -122724.24108440308
-11.06060606060606 -124287.75574465937
-10.757575757575758 -123048.6192024121
-10.454545454545453 -119334.05240421042
-10.151515151515152 -121634.41381716012
-9.848484848484848 -123424.34406582106
-9.545454545454545 -123688.56503548386
-9.242424242424242 -119246.63148870194
-8.93939393939394 -116626.07451977156
-8.636363636363637 -119610.44806422413
-8.333333333333332 -118665.591927445
-8.030303030303031 -118516.53314221268
-7.727272727272727 -120714.31092299726
-7.424242424242424 -123213.68084622045
-7.121212121212121 -118983.79387660073
-6.818181818181818 -120646.3118960274
-6.515151515151516 -119141.55646312636
-6.212121212121211 -118400.02098777279
-5.909090909090908 -119500.60739313184
-5.6060606060606055 -118311.11219785761
-5.303030303030303 -118496.51925685606
-5.0 -115357.10058707187
-4.696969696969697 -116936.97271364648
-4.3939393939393945 -113755.48541378613
-4.09090909090909 -113410.9715310071
-3.787878787878787 -111105.52799580056
-3.4848484848484844 -110542.41182021999
-3.1818181818181817 -108337.21336651575
-2.878787878787879 -107274.77502312747
-2.575757575757576 -106276.73720870816
-2.2727272727272716 -105400.56392045904
-1.9696969696969688 -104287.6897913192
-1.666666666666666 -102777.47178983837
-1.3636363636363633 -101835.92847702529
-1.0606060606060606 -100364.43296385839
-0.7575757575757578 -100547.4491416802
-0.45454545454545325 -98247.64135867334
-0.1515151515151505 -97292.28388079161
0.15151515151515227 -95644.73027235783
0.45454545454545503 -94511.92527740712
0.7575757575757578 -91648.07452209777
1.0606060606060623 -88936.92390585953
1.3636363636363633 -86250.71120289426
1.6666666666666679 -83893.82729177574
1.9696969696969688 -81251.13241649939
2.2727272727272734 -79159.31851690386
2.575757575757578 -77361.86236990574
2.878787878787879 -75631.02726351054
3.1818181818181834 -75723.35653689041
3.4848484848484844 -74974.23447009176
3.787878787878789 -75563.77306239856
4.09090909090909 -76404.45057358989
4.3939393939393945 -77892.54335631302
4.696969696969699 -80553.86344123159
5.0 -82841.99429310084
