s_d_bin lambda_cond_mean
-100.0 nan
-97.97979797979798 nan
-95.95959595959596 nan
-93.93939393939394 nan
-91.91919191919192 nan
-89.8989898989899 nan
-87.87878787878788 nan
-85.85858585858585 nan
-83.83838383838383 nan
-81.81818181818181 nan
-79.79797979797979 nan
-77.77777777777777 nan
-75.75757575757575 nan
-73.73737373737373 nan
-71.71717171717171 nan
-69.69696969696969 nan
-67.67676767676767 nan
-65.65656565656565 nan
-63.63636363636363 nan
-61.61616161616161 nan
-59.59595959595959 nan
-57.57575757575757 nan
-55.55555555555555 nan
-53.53535353535353 nan
-51.515151515151516 nan
-49.494949494949495 nan
-47.474747474747474 nan
-45.45454545454545 nan
-43.43434343434343 nan
-41.41414141414141 14454.365158369848
-39.39393939393939 7385.412664497936
-37.37373737373737 nan
-35.35353535353535 -438.9101712242087
-33.33333333333333 36374.469430339144
-31.313131313131308 51996.45250609837
-29.292929292929287 42343.036384339335
-27.272727272727266 44031.763116410235
-25.252525252525245 18900.01613605288
-23.232323232323225 33563.51750889948
-21.212121212121204 25969.933044904024
-19.191919191919183 18982.422110999545
-17.171717171717162 15302.698294015163
-15.151515151515142 15050.316188622486
-13.13131313131312 19081.914711735026
-11.1111111111111 17254.375281769877
-9.09090909090908 15325.15290794129
-7.0707070707070585 15739.267420967926
-5.050505050505038 11215.629290328045
-3.030303030303031 12398.211201910095
-1.0101010101010104 10459.065101247375
1.0101010101010104 9901.223366071268
3.030303030303031 16008.427413103715
5.050505050505052 22463.674581462452
7.070707070707073 26777.39216893159
9.090909090909093 29032.44804576229
11.111111111111114 29585.960229827368
13.131313131313135 26769.321363924057
15.151515151515156 29452.056408828183
17.171717171717177 27227.005204769175
19.191919191919197 27838.289405877105
21.212121212121218 22404.62482043019
23.23232323232324 35163.26897968403
25.25252525252526 30745.100123292643
27.27272727272728 31411.64849814661
29.2929292929293 34477.82600068597
31.313131313131322 25624.924062661987
33.33333333333334 20977.97629230013
35.353535353535364 37114.909311472875
37.373737373737384 32580.96695541744
39.393939393939405 33037.7378801206
41.414141414141426 8247.61752333847
43.43434343434345 26771.06071032363
45.45454545454547 12543.792202436067
47.47474747474749 6063.344010195602
49.49494949494951 12687.838828015663
51.51515151515153 16931.260933183017
53.53535353535355 11995.593389033816
55.55555555555557 -4136.458872881546
57.57575757575759 21427.52411527837
59.59595959595961 45738.62976700843
61.616161616161634 14217.503579043836
63.636363636363654 -15872.777916629966
65.65656565656568 27919.706074790836
67.6767676767677 nan
69.69696969696972 24959.406024039843
71.71717171717174 nan
73.73737373737376 nan
75.75757575757578 nan
77.7777777777778 1348.8028881513346
