s_d_bin lambda_cond_mean
-15.0 -95894.63328241135
-14.696969696969697 -100442.46460062507
-14.393939393939394 -104221.28711911038
-14.09090909090909 -106631.7204660427
-13.787878787878787 -108436.82201105426
-13.484848484848484 -101876.8763638934
-13.181818181818182 -102489.65220487169
-12.878787878787879 -103507.91594290144
-12.575757575757576 -101459.37787989149
-12.272727272727273 -99481.95621982854
-11.969696969696969 -100441.14272178835
-11.666666666666666 -97109.80446573776
-11.363636363636363 -98060.48138869656
-11.06060606060606 -98945.47966785374
-10.757575757575758 -102668.20510818528
-10.454545454545453 -107331.41176833425
-10.151515151515152 -101298.90892002037
-9.848484848484848 -95388.5254893283
-9.545454545454545 -98551.38351841271
-9.242424242424242 -99655.61009893766
-8.93939393939394 -94872.82168266157
-8.636363636363637 -97606.69596994905
-8.333333333333332 -97333.03180777606
-8.030303030303031 -99585.07274499355
-7.727272727272727 -96390.55705517992
-7.424242424242424 -95407.69943155108
-7.121212121212121 -96252.81829385315
-6.818181818181818 -96927.63413238389
-6.515151515151516 -96526.5946849451
-6.212121212121211 -93049.03978452267
-5.909090909090908 -91516.18684683926
-5.6060606060606055 -92067.30373429136
-5.303030303030303 -94243.58310150457
-5.0 -94489.70907379883
-4.696969696969697 -91969.02986710588
-4.3939393939393945 -90097.72471235233
-4.09090909090909 -89893.93471619973
-3.787878787878787 -91013.42806413521
-3.4848484848484844 -88442.81167334985
-3.1818181818181817 -87578.69354369598
-2.878787878787879 -87480.01716948705
-2.575757575757576 -86603.60095814675
-2.2727272727272716 -85745.12604270672
-1.9696969696969688 -86650.06018246956
-1.666666666666666 -85864.9748001723
-1.3636363636363633 -85079.73355989407
-1.0606060606060606 -84625.84090731885
-0.7575757575757578 -84239.45670778074
-0.45454545454545325 -84406.93395767786
-0.1515151515151505 -84294.28581371902
0.15151515151515227 -84887.8874823934
0.45454545454545503 -85179.69954450843
0.7575757575757578 -84270.85753810975
1.0606060606060623 -84119.81883144825
1.3636363636363633 -82893.2447059706
1.6666666666666679 -81301.93516077491
1.9696969696969688 -81458.87406854515
2.2727272727272734 -81722.7604212049
2.575757575757578 -82097.28061773382
2.878787878787879 -83668.20203808446
3.1818181818181834 -85399.93031372245
3.4848484848484844 -87497.53041842804
3.787878787878789 -88679.63497979587
4.09090909090909 -91160.15724803238
4.3939393939393945 -94018.71993694094
4.696969696969699 -96213.42863270096
5.0 -97966.83792277129
5.3030303030303045 -99039.9001397659
5.6060606060606055 -100972.24964162514
5.90909090909091 -103436.06285874864
6.212121212121211 -102825.38929239636
6.515151515151516 -107458.65901831914
6.81818181818182 -106808.40781089319
7.121212121212121 -106987.14538741512
7.424242424242426 -109208.21227488977
7.727272727272727 -110891.43216744569
8.030303030303031 -110780.40017315935
8.333333333333336 -112431.48724629715
8.636363636363637 -114482.06927865327
8.939393939393941 -114602.67999944091
9.242424242424242 -115122.19161535155
9.545454545454547 -116223.34041786
9.848484848484848 -114993.62687413428
10.151515151515152 -116184.79860985998
10.454545454545457 -114089.30081196051
10.757575757575758 -117646.9692317575
11.060606060606062 -115056.49754347025
11.363636363636363 -111433.8466959845
11.666666666666668 -115957.52591239795
11.969696969696969 -117809.21029214664
12.272727272727273 -116981.28974854833
12.575757575757578 -115665.54005787305
12.878787878787879 -116822.69769432332
13.181818181818183 -114904.7584251837
13.484848484848484 -115289.09436377398
13.787878787878789 -113874.9045492379
14.090909090909093 -114687.83091895145
14.393939393939394 -115312.65898078673
14.696969696969699 -116761.26287262558
15.0 -115970.85759336039

-15.0 -112695.47514329609
-14.696969696969697 -108324.29983799323
-14.393939393939394 -115939.86869160576
-14.09090909090909 -109396.73136853462
-13.787878787878787 -108924.55675036888
-13.484848484848484 -117335.5616915496
-13.181818181818182 -117223.4996383885
-12.878787878787879 -119132.00701870405
-12.575757575757576 -116125.72827408076
-12.272727272727273 -114948.97393856494
-11.969696969696969 -112777.49674217138
-11.666666666666666 -110164.86068007097
-11.363636363636363 -116776.86106507183
-11.06060606060606 -114169.29903374033
-10.757575757575758 -119779.41558608756
-10.454545454545453 -118195.44020049988
-10.151515151515152 -117208.80263696941
-9.848484848484848 -121856.53836016238
-9.545454545454545 -121875.31401202016
-9.242424242424242 -116159.33205869679
-8.93939393939394 -115723.23963533637
-8.636363636363637 -118688.1851824274
-8.333333333333332 -120814.66890379047
-8.030303030303031 -117565.42817291223
-7.727272727272727 -119351.73156903697
-7.424242424242424 -124079.22578183352
-7.121212121212121 -117101.86075923612
-6.818181818181818 -119908.97265556153
-6.515151515151516 -116108.52926509657
-6.212121212121211 -115425.82467243145
-5.909090909090908 -116265.2243850287
-5.6060606060606055 -119685.95321423713
-5.303030303030303 -116232.13735972953
-5.0 -117128.28941211119
-4.696969696969697 -119736.01550840898
-4.3939393939393945 -117905.38269280198
-4.09090909090909 -116695.9159446866
-3.787878787878787 -117990.32721212746
-3.4848484848484844 -116268.69117601715
-3.1818181818181817 -114922.76321901641
-2.878787878787879 -115518.68831060256
-2.575757575757576 -113583.60847502961
-2.2727272727272716 -113075.43966172093
-1.9696969696969688 -112051.3928147155
-1.666666666666666 -110344.04798728418
-1.3636363636363633 -109790.6280122428
-1.0606060606060606 -108761.02799990636
-0.7575757575757578 -108500.60917521403
-0.45454545454545325 -105783.96928068489
-0.1515151515151505 -106206.39225655621
0.15151515151515227 -103245.43171822555
0.45454545454545503 -103132.99043968655
0.7575757575757578 -100991.48850070401
1.0606060606060623 -98600.23147158959
1.3636363636363633 -97071.55832409493
1.6666666666666679 -94581.31061611758
1.9696969696969688 -93129.9423804171
2.2727272727272734 -89108.64622668031
2.575757575757578 -88104.87970093494
2.878787878787879 -86067.70773752891
3.1818181818181834 -83830.32993310154
3.4848484848484844 -82216.35831443037
3.787878787878789 -82312.28059192024
4.09090909090909 -82562.3294521847
4.3939393939393945 -84152.876142314
4.696969696969699 -85319.11659339732
5.0 -88079.92455218176
5.3030303030303045 -89585.8297272537
5.6060606060606055 -89850.85162271166
5.90909090909091 -91841.83210379852
6.212121212121211 -94603.80543235215
6.515151515151516 -94932.43655103326
6.81818181818182 -97126.78663511395
7.121212121212121 -95893.09559555854
7.424242424242426 -99704.89231772005
7.727272727272727 -99801.60879670044
8.030303030303031 -103220.99909435032
8.333333333333336 -103938.56405434858
8.636363636363637 -105802.87371099666
8.939393939393941 -104623.70103591905
9.242424242424242 -103639.02722684987
9.545454545454547 -107490.35042740649
9.848484848484848 -105332.9868674264
10.151515151515152 -105919.30344936212
10.454545454545457 -108763.02240567897
10.757575757575758 -109713.01286560358
11.060606060606062 -108208.8162870566
11.363636363636363 -108189.37626818317
11.666666666666668 -111174.71782762709
11.969696969696969 -110275.99297927413
12.272727272727273 -112952.52926025414
12.575757575757578 -115128.08191718359
12.878787878787879 -112321.43797062074
13.181818181818183 -111591.15179133583
13.484848484848484 -111417.11267601447
13.787878787878789 -118493.34423216303
14.090909090909093 -111237.74835205569
14.393939393939394 -113141.06690669853
14.696969696969699 -115513.61380923512
15.0 -115459.53966265908

-15.0 -147400.20681641606
-14.696969696969697 -146322.84889899837
-14.393939393939394 -143611.64626107537
-14.09090909090909 -150898.69958940928
-13.787878787878787 -146240.37119403033
-13.484848484848484 -140427.1253417156
-13.181818181818182 -144178.09300882774
-12.878787878787879 -145818.61870120378
-12.575757575757576 -145213.3753625478
-12.272727272727273 -143429.27485060788
-11.969696969696969 -141079.05537220053
-11.666666666666666 -141938.8218375842
-11.363636363636363 -138940.9244885706
-11.06060606060606 -139049.94739445517
-10.757575757575758 -136897.37306589703
-10.454545454545453 -136789.1492816452
-10.151515151515152 -133266.34103535983
-9.848484848484848 -133202.2351085728
-9.545454545454545 -133233.75068547626
-9.242424242424242 -131950.45004679394
-8.93939393939394 -126844.27445768648
-8.636363636363637 -128984.92063364951
-8.333333333333332 -127240.71709631711
-8.030303030303031 -126889.14081556305
-7.727272727272727 -120897.63539708668
-7.424242424242424 -121403.87183830484
-7.121212121212121 -120764.51216413804
-6.818181818181818 -120119.77855271324
-6.515151515151516 -117548.41752722365
-6.212121212121211 -116438.79921994208
-5.909090909090908 -114705.98869844114
-5.6060606060606055 -112821.92022200338
-5.303030303030303 -112667.00834110251
-5.0 -109197.33163765591
-4.696969696969697 -109051.13036010622
-4.3939393939393945 -106580.75141660486
-4.09090909090909 -103899.43400812102
-3.787878787878787 -103179.61942944712
-3.4848484848484844 -102331.13526655146
-3.1818181818181817 -100475.28580543863
-2.878787878787879 -99549.30463913236
-2.575757575757576 -95844.14799463456
-2.2727272727272716 -96090.44479617171
-1.9696969696969688 -94932.8601122637
-1.666666666666666 -93774.40806069472
-1.3636363636363633 -92926.86879052293
-1.0606060606060606 -92329.5029997906
-0.7575757575757578 -91629.12512152211
-0.45454545454545325 -90058.11955540559
-0.1515151515151505 -88454.14910399655
0.15151515151515227 -87615.4091383681
0.45454545454545503 -86491.00288386535
0.7575757575757578 -86316.65496568228
1.0606060606060623 -83587.49816293792
1.3636363636363633 -83936.08063593598
1.6666666666666679 -82280.7665258069
1.9696969696969688 -81618.76472144635
2.2727272727272734 -81018.67929093138
2.575757575757578 -79749.34206000771
2.878787878787879 -78368.47291596817
3.1818181818181834 -77549.14148834119
3.4848484848484844 -76518.11276478843
3.787878787878789 -76030.18473183195
4.09090909090909 -75297.73632789227
4.3939393939393945 -74306.63019863078
4.696969696969699 -74435.98568852959
5.0 -72804.19979162574
5.3030303030303045 -72201.08092114529
5.6060606060606055 -73646.98551701296
5.90909090909091 -71730.26408343484
6.212121212121211 -72020.85870607401
6.515151515151516 -73166.15975672862
6.81818181818182 -71802.60435749787
7.121212121212121 -71226.51608102248
7.424242424242426 -72215.70150901607
7.727272727272727 -72949.87731477444
8.030303030303031 -73695.84588254728
8.333333333333336 -74409.42327517254
8.636363636363637 -76180.52573993317
8.939393939393941 -75131.71755791623
9.242424242424242 -74960.126290012
9.545454545454547 -76416.40921276745
9.848484848484848 -74818.41966692751
10.151515151515152 -74665.1178926835
10.454545454545457 -76490.13707368524
10.757575757575758 -75487.7172735142
11.060606060606062 -75515.23858046177
