lambda_bin lambda_pdf
-989898.9898989899 0.0
-969696.9696969697 0.0
-949494.9494949495 0.0
-929292.9292929294 0.0
-909090.9090909091 0.0
-888888.8888888889 0.0
-868686.8686868687 0.0
-848484.8484848485 0.0
-828282.8282828282 0.0
-808080.808080808 0.0
-787878.7878787878 0.0
-767676.7676767677 0.0
-747474.7474747475 0.0
-727272.7272727273 0.0
-707070.7070707071 0.0
-686868.6868686869 3.4326942280806904e-11
-666666.6666666667 3.4326942280806904e-11
-646464.6464646466 6.865388456161341e-11
-626262.6262626263 1.5447124026363107e-10
-606060.6060606061 2.059616536848414e-10
-585858.5858585858 3.7759636508887374e-10
-565656.5656565656 3.604328939484725e-10
-545454.5454545454 5.663945476333139e-10
-525252.5252525252 8.925004993009795e-10
-505050.50505050505 1.373077691232276e-09
-484848.48484848486 2.059616536848414e-09
-464646.4646464647 4.067742660275618e-09
-444444.4444444445 7.689235070900746e-09
-424242.42424242425 1.1911448971439927e-08
-404040.404040404 1.8090298581985238e-08
-383838.38383838383 2.6740688036748578e-08
-363636.36363636365 4.023117635310569e-08
-343434.34343434346 6.187431346115445e-08
-323232.3232323233 9.5463226482924e-08
-303030.3030303031 1.3959051078490127e-07
-282828.28282828286 2.062705961653675e-07
-262626.2626262626 3.223299880167768e-07
-242424.24242424243 4.906521494907135e-07
-222222.22222222225 7.770075019972046e-07
-202020.20202020206 1.1869226832434602e-06
-181818.18181818188 1.7960886009586594e-06
-161616.16161616164 2.603441119932083e-06
-141414.1414141414 3.75260416666667e-06
-121212.12121212122 5.1747007314759385e-06
-101010.10101010103 6.732680497303781e-06
-80808.08080808085 7.98417215897744e-06
-60606.060606060666 8.385110844817263e-06
-40404.040404040425 6.909292615338493e-06
-20202.020202020183 2.692210592670264e-06
0.0 7.472975334531663e-08
20202.020202020183 0.0
40404.04040404037 0.0
60606.06060606055 0.0
80808.08080808073 0.0
101010.10101010092 0.0
121212.1212121211 0.0
141414.14141414128 0.0
161616.16161616158 0.0
181818.18181818188 0.0
202020.20202020206 0.0
222222.22222222225 0.0
242424.24242424243 0.0
262626.2626262626 0.0
282828.2828282828 0.0
303030.303030303 0.0
323232.32323232316 0.0
343434.34343434335 0.0
363636.36363636353 0.0
383838.3838383837 0.0
404040.4040404039 0.0
424242.4242424242 0.0
444444.4444444445 0.0
464646.4646464647 0.0
484848.48484848486 0.0
505050.50505050505 0.0
525252.5252525252 0.0
545454.5454545454 0.0
565656.5656565656 0.0
585858.5858585858 0.0
606060.606060606 0.0
626262.6262626261 0.0
646464.6464646463 0.0
666666.6666666665 0.0
686868.6868686868 0.0
707070.7070707071 0.0
727272.7272727273 0.0
747474.7474747475 0.0
767676.7676767677 0.0
787878.7878787878 0.0
808080.808080808 0.0
828282.8282828282 0.0
848484.8484848484 0.0
868686.8686868686 0.0
888888.8888888888 0.0
909090.909090909 0.0
929292.9292929292 0.0
949494.9494949495 0.0
969696.9696969697 0.0
989898.9898989899 0.0

-989898.9898989899 0.0
-969696.9696969697 0.0
-949494.9494949495 0.0
-929292.9292929294 0.0
-909090.9090909091 0.0
-888888.8888888889 0.0
-868686.8686868687 0.0
-848484.8484848485 0.0
-828282.8282828282 0.0
-808080.808080808 0.0
-787878.7878787878 0.0
-767676.7676767677 0.0
-747474.7474747475 0.0
-727272.7272727273 0.0
-707070.7070707071 0.0
-686868.6868686869 0.0
-666666.6666666667 0.0
-646464.6464646466 0.0
-626262.6262626263 0.0
-606060.6060606061 0.0
-585858.5858585858 0.0
-565656.5656565656 7.551399093730413e-11
-545454.5454545454 1.76199312187043e-10
-525252.5252525252 4.782552759362596e-10
-505050.50505050505 4.530839456238248e-10
-484848.48484848486 1.0571958731222578e-09
-464646.4646464647 1.8878497734326034e-09
-444444.4444444445 3.47364358311599e-09
-424242.42424242425 5.764234641547515e-09
-404040.404040404 9.1371929034138e-09
-383838.38383838383 1.6386536033394996e-08
-363636.36363636365 2.723537939805436e-08
-343434.34343434346 4.5811821168631177e-08
-323232.3232323233 7.350028451230936e-08
-303030.3030303031 1.2321366187936792e-07
-282828.28282828286 2.0358571956697076e-07
-262626.2626262626 3.3253844475757494e-07
-242424.24242424243 5.234881565077046e-07
-222222.22222222225 8.251162076416099e-07
-202020.20202020206 1.3005271232525642e-06
-181818.18181818188 1.9527666343083726e-06
-161616.16161616164 2.868172403780669e-06
-141414.1414141414 4.11825618108713e-06
-121212.12121212122 5.537894039378136e-06
-101010.10101010103 6.87625367209029e-06
-80808.08080808085 7.965039564754653e-06
-60606.060606060666 8.034613121738223e-06
-40404.040404040425 5.928527914496776e-06
-20202.020202020183 2.363613087667932e-06
0.0 3.4217906426723747e-07
20202.020202020183 1.8500927779639513e-08
40404.04040404037 2.768846334367818e-10
60606.06060606055 0.0
80808.08080808073 0.0
101010.10101010092 0.0
121212.1212121211 0.0
141414.14141414128 0.0
161616.16161616158 0.0
181818.18181818188 0.0
202020.20202020206 0.0
222222.22222222225 0.0
242424.24242424243 0.0
262626.2626262626 0.0
282828.2828282828 0.0
303030.303030303 0.0
323232.32323232316 0.0
343434.34343434335 0.0
363636.36363636353 0.0
383838.3838383837 0.0
404040.4040404039 0.0
424242.4242424242 0.0
444444.4444444445 0.0
464646.4646464647 0.0
484848.48484848486 0.0
505050.50505050505 0.0
525252.5252525252 0.0
545454.5454545454 0.0
565656.5656565656 0.0
585858.5858585858 0.0
606060.606060606 0.0
626262.6262626261 0.0
646464.6464646463 0.0
666666.6666666665 0.0
686868.6868686868 0.0
707070.7070707071 0.0
727272.7272727273 0.0
747474.7474747475 0.0
767676.7676767677 0.0
787878.7878787878 0.0
808080.808080808 0.0
828282.8282828282 0.0
848484.8484848484 0.0
868686.8686868686 0.0
888888.8888888888 0.0
909090.909090909 0.0
929292.9292929292 0.0
949494.9494949495 0.0
969696.9696969697 0.0
989898.9898989899 0.0

-989898.9898989899 0.0
-969696.9696969697 0.0
-949494.9494949495 0.0
-929292.9292929294 0.0
-909090.9090909091 0.0
-888888.8888888889 0.0
-868686.8686868687 0.0
-848484.8484848485 0.0
-828282.8282828282 0.0
-808080.808080808 0.0
-787878.7878787878 0.0
-767676.7676767677 0.0
-747474.7474747475 0.0
-727272.7272727273 0.0
-707070.7070707071 0.0
-686868.6868686869 0.0
-666666.6666666667 0.0
-646464.6464646466 0.0
-626262.6262626263 0.0
-606060.6060606061 1.1131600251866521e-10
-585858.5858585858 1.1131600251866457e-10
-565656.5656565656 1.1131600251866521e-10
-545454.5454545454 2.2263200503733043e-10
-525252.5252525252 4.4526401007466085e-10
-505050.50505050505 1.001844022667987e-09
-484848.48484848486 1.0389493568408753e-09
-464646.4646464647 8.163173518035449e-10
-444444.4444444445 1.8552667086444203e-09
-424242.42424242425 3.153953404695496e-09
-404040.404040404 5.417378789241707e-09
-383838.38383838383 9.239228209049213e-09
-363636.36363636365 1.6103715031033568e-08
-343434.34343434346 2.812584330304941e-08
-323232.3232323233 4.367297832148965e-08
-303030.3030303031 7.105671494108129e-08
-282828.28282828286 1.2448839615003987e-07
-262626.2626262626 2.2200121435639132e-07
