s_d_bin s_d
-99.49748743718592 0.0
-98.4924623115578 1.4841022076579728e-06
-97.48743718592965 7.420511038289759e-07
-96.4824120603015 7.420511038289864e-07
-95.47738693467338 1.4841022076579728e-06
-94.47236180904522 7.420511038289759e-07
-93.46733668341707 0.0
-92.46231155778895 0.0
-91.4572864321608 7.420511038289864e-07
-90.45226130653268 7.420511038289864e-07
-89.44723618090453 7.420511038289759e-07
-88.44221105527637 1.4841022076579728e-06
-87.43718592964825 0.0
-86.4321608040201 0.0
-85.42713567839195 7.420511038289864e-07
-84.42211055276383 0.0
-83.41708542713567 7.420511038289864e-07
-82.41206030150755 1.4841022076579728e-06
-81.4070351758794 1.4841022076579519e-06
-80.40201005025125 7.420511038289864e-07
-79.39698492462313 2.9682044153159457e-06
-78.39195979899498 0.0
-77.38693467336682 1.4841022076579728e-06
-76.3819095477387 7.420511038289864e-07
-75.37688442211055 7.420511038289864e-07
-74.37185929648243 3.710255519144932e-06
-73.36683417085428 1.4841022076579519e-06
-72.36180904522612 1.4841022076579728e-06
-71.356783919598 1.4841022076579728e-06
-70.35175879396985 1.4841022076579519e-06
-69.3467336683417 1.4841022076579728e-06
-68.34170854271358 2.2261533114869594e-06
-67.33668341708542 1.4841022076579728e-06
-66.3316582914573 2.2261533114869594e-06
-65.32663316582915 2.226153311486928e-06
-64.321608040201 2.2261533114869594e-06
-63.31658291457287 7.420511038289864e-07
-62.311557788944725 1.4841022076579622e-06
-61.30653266331659 0.0
-60.301507537688444 2.9682044153159457e-06
-59.29648241206031 7.420511038289864e-06
-58.29145728643216 3.7102555191449057e-06
-57.286432160804026 7.4205110382898114e-06
-56.28140703517588 5.936408830631891e-06
-55.276381909547744 4.452306622973919e-06
-54.2713567839196 2.9682044153159245e-06
-53.26633165829146 8.904613245947773e-06
-52.26130653266332 5.936408830631891e-06
-51.25628140703518 8.16256214211885e-06
-50.25125628140704 5.194357726802868e-06
-49.2462311557789 9.646664349776755e-06
-48.24120603015076 1.1130766557434795e-05
-47.23618090452262 1.1872817661263783e-05
-46.231155778894475 1.261486876509268e-05
-45.22613065326634 2.003537980338249e-05
-44.221105527638194 2.3003584218698578e-05
-43.21608040201006 2.0035379803382633e-05
-42.21105527638191 1.929332869955351e-05
-41.206030150753776 3.0424095256988226e-05
-40.20100502512563 2.4487686426356552e-05
-39.195979899497495 4.0070759606765266e-05
-38.19095477386935 6.752665044843729e-05
-37.18592964824121 8.310972362884588e-05
-36.18090452261307 8.533587694033343e-05
-35.17587939698493 9.053023466713634e-05
-34.170854271356795 0.00011947022771646681
-33.16582914572865 0.00015212047628494006
-32.16080402010051 0.0001973855936185104
-31.15577889447237 0.00022187328004486692
-30.150753768844226 0.00026045993744397053
-29.14572864321608 0.00025229737530185536
-28.140703517587944 0.0002923681349086206
-27.135678391959807 0.00038660862509490193
-26.13065326633167 0.0004066440048982845
-25.125628140703526 0.000523146028199428
-24.120603015075382 0.0005647008900138586
-23.115577889447245 0.0006515208691618501
-22.1105527638191 0.0007019803442222112
-21.105527638190956 0.0008110618564850821
-20.10050251256282 0.0008459382583650444
-19.095477386934682 0.0009483413106934446
-18.090452261306545 0.001084136662694149
-17.0854271356784 0.0012139956058642046
-16.080402010050257 0.0013713104398759667
-15.07537688442212 0.0016837139545879702
-14.070351758793976 0.0019515944030702066
-13.065326633165832 0.0022491568957056576
-12.060301507537694 0.002661737309434574
-11.055276381909557 0.0030550243944639367
-10.05025125628142 0.0035410678674719235
-9.045226130653276 0.004273472306951073
-8.040201005025132 0.005088986470059189
-7.035175879396995 0.006305208229234897
-6.030150753768851 0.007931784248827923
-5.025125628140707 0.010209881137583024
-4.02010050251257 0.014173918134237469
-3.0150753768844325 0.020230539243689658
-2.0100502512562954 0.029441619595518862
-1.0050251256281513 0.04640936013567181
-7.105427357601002e-15 0.07203164269978354
1.00502512562813 0.10496461273881778
2.010050251256274 0.1283792932690358
3.0150753768844183 0.11467360938131624
4.020100502512555 0.08333753331772198
5.025125628140692 0.06004380711742626
6.0301507537688295 0.044362041140208294
7.035175879396974 0.03418184204677795
8.040201005025118 0.027270378065715247
9.045226130653255 0.021994394717491157
10.050251256281399 0.0179828664501914
11.055276381909543 0.01495678204877705
12.06030150753768 0.012655681575803362
13.065326633165817 0.010763451261039447
14.070351758793954 0.009067122437686384
15.075376884422099 0.007756660188324285
16.080402010050243 0.0067489547893246305
17.08542713567838 0.005854783209210702
18.090452261306524 0.005030364432856627
19.095477386934668 0.004410751761159495
20.100502512562805 0.00372658064342917
21.105527638190942 0.0032880284410662384
22.11055276381908 0.002899935713763679
23.115577889447223 0.002662479360538366
24.120603015075368 0.0024064717297174027
25.125628140703505 0.0020339620755952517
26.13065326633165 0.0018951985191792045
27.135678391959793 0.0016681308814075612
28.14070351758793 0.0015412401426528046
29.145728643216074 0.00132604532254238
30.15075376884421 0.0012266104746293319
31.15577889447235 0.0011175289623664379
32.160804020100485 0.0009950905302346848
33.16582914572862 0.0008466803094688615
34.170854271356774 0.0007798957101242536
35.17587939698491 0.0006760085555882161
36.18090452261305 0.0006366798470852613
37.1859296482412 0.0005721214010521404
38.190954773869336 0.0005684111455330115
39.19597989949747 0.0004956901373577559
40.201005025125625 0.0004504250200241884
41.20603015075376 0.0004222270780786992
42.2110552763819 0.0003814142673680936
43.216080402010036 0.0003539583765264315
44.22110552763817 0.0003242763323732625
45.226130653266324 0.00030349890146605114
46.23115577889446 0.0002864317260779928
47.2361809045226 0.0002678804484822603
48.241206030150735 0.00022558353556401505
49.24623115577887 0.0002248414844601797
50.251256281407024 0.00021296866679891606
51.25628140703516 0.00018254457154193325
52.2613065326633 0.00017141380498449343
53.26633165829145 0.00016176714063471676
54.271356783919586 0.00015954098732323433
55.27638190954772 0.00015137842518111108
56.281407035175874 0.0001298589431700708
57.28643216080401 0.00013653740310453543
58.29145728643215 0.00010982356336668843
59.296482412060286 0.00010759741005520455
60.30150753768842 8.90461324594771e-05
61.306532663316574 8.385177473267427e-05
62.31155778894471 9.49825412901116e-05
63.31658291457285 9.349843908245096e-05
64.32160804020099 7.568921259055768e-05
65.32663316582912 8.459382583650326e-05
66.33165829145727 6.530049713694988e-05
67.33668341708541 5.491178168334577e-05
68.34170854271355 6.826870155226579e-05
69.3467336683417 7.197895707141067e-05
70.35175879396984 5.7137934994832756e-05
71.35678391959797 4.674921954122548e-05
72.36180904522612 4.897537285271241e-05
73.36683417085426 3.784460629527884e-05
74.3718592964824 3.4134350776132894e-05
75.37688442211054 3.190819746464686e-05
76.38190954773867 3.858665739910674e-05
77.38693467336682 3.6360504087619815e-05
78.39195979899496 3.3392299672304856e-05
79.3969849246231 3.190819746464596e-05
80.40201005025123 2.4487686426356898e-05
81.40703517587937 2.8197941945501085e-05
82.41206030150752 2.374563532252723e-05
83.41708542713566 2.5229737530185895e-05
84.4221105527638 2.374563532252723e-05
85.42713567839195 1.632512428423747e-05
86.43216080402009 2.3003584218698903e-05
87.43718592964822 1.632512428423747e-05
88.44221105527637 2.0035379803382348e-05
89.44723618090451 2.077743090721191e-05
90.45226130653265 1.1130766557434638e-05
91.45728643216079 2.151948201104091e-05
92.46231155778892 1.4098970972750543e-05
93.46733668341707 1.4841022076579516e-05
94.47236180904521 1.187281766126395e-05
95.47738693467335 1.4098970972750543e-05
96.48241206030148 1.1130766557434953e-05
97.48743718592962 1.1872817661263615e-05
98.49246231155777 1.1872817661263615e-05
99.49748743718592 1.4841022076579516e-05

-99.49748743718592 0.0
-98.4924623115578 2.353984917935836e-06
-97.48743718592965 0.0
-96.4824120603015 0.0
-95.47738693467338 0.0
-94.47236180904522 1.1769924589679012e-06
-93.46733668341707 0.0
-92.46231155778895 0.0
-91.4572864321608 2.353984917935836e-06
-90.45226130653268 0.0
-89.44723618090453 1.1769924589679012e-06
-88.44221105527637 0.0
-87.43718592964825 1.176992458967918e-06
-86.4321608040201 1.1769924589679012e-06
-85.42713567839195 0.0
-84.42211055276383 0.0
-83.41708542713567 1.176992458967918e-06
-82.41206030150755 2.353984917935836e-06
-81.4070351758794 0.0
-80.40201005025125 1.176992458967918e-06
-79.39698492462313 2.353984917935836e-06
-78.39195979899498 1.1769924589679012e-06
-77.38693467336682 0.0
-76.3819095477387 2.353984917935836e-06
-75.37688442211055 0.0
-74.37185929648243 0.0
-73.36683417085428 0.0
-72.36180904522612 0.0
-71.356783919598 4.707969835871672e-06
-70.35175879396985 2.3539849179358025e-06
-69.3467336683417 2.353984917935836e-06
-68.34170854271358 4.707969835871672e-06
-67.33668341708542 3.530977376903754e-06
-66.3316582914573 7.061954753807508e-06
-65.32663316582915 2.3539849179358025e-06
-64.321608040201 3.530977376903754e-06
-63.31658291457287 4.707969835871672e-06
-62.311557788944725 3.5309773769037285e-06
-61.30653266331659 4.707969835871638e-06
-60.301507537688444 4.707969835871672e-06
-59.29648241206031 8.238947212775425e-06
-58.29145728643216 8.238947212775368e-06
-57.286432160804026 8.238947212775368e-06
-56.28140703517588 5.88496229483959e-06
-55.276381909547744 7.061954753807508e-06
-54.2713567839196 7.061954753807457e-06
-53.26633165829146 4.707969835871638e-06
-52.26130653266332 8.238947212775425e-06
-51.25628140703518 9.415939671743344e-06
-50.25125628140704 1.2946917048647006e-05
-49.2462311557789 1.4123909507614914e-05
-48.24120603015076 1.7654886884518767e-05
-47.23618090452262 1.647789442555085e-05
-46.231155778894475 1.7654886884518645e-05
-45.22613065326634 9.415939671743276e-06
-44.221105527638194 1.5300901966582934e-05
-43.21608040201006 1.4123909507615016e-05
-42.21105527638191 2.47168416383261e-05
-41.206030150753776 2.3539849179358192e-05
-40.20100502512563 3.413278131006962e-05
-39.195979899497495 2.9424811474197945e-05
-38.19095477386935 3.6486766228005194e-05
-37.18592964824121 3.1778796392133554e-05
-36.18090452261307 4.707969835871672e-05
-35.17587939698493 4.59027058997488e-05
-34.170854271356795 6.59115777022034e-05
-33.16582914572865 5.0610675735619754e-05
-32.16080402010051 7.297353245601092e-05
-31.15577889447237 0.00010710631376608053
-30.150753768844226 0.00012476120065059754
-29.14572864321608 0.0001318231554044068
-28.140703517587944 0.000171840899009316
-27.135678391959807 0.00023069052195771192
-26.13065326633167 0.00030719503179062657
-25.125628140703526 0.00033897382818275556
-24.120603015075382 0.0004743279609640709
-23.115577889447245 0.0005108147271920764
-22.1105527638191 0.0005649563803045926
-21.105527638190956 0.000730912317019077
-20.10050251256282 0.0007850539701316012
-19.095477386934682 0.0009439479520922701
-18.090452261306545 0.0011369747153630086
-17.0854271356784 0.0012923377199467558
-16.080402010050257 0.0016218956084577908
-15.07537688442212 0.0017395948543545826
-14.070351758793976 0.0019349756025432295
-13.065326633165832 0.002123294395978124
-12.060301507537694 0.002559958598255221
-11.055276381909557 0.0030872512198728487
-10.05025125628142 0.003986473458524338
-9.045226130653276 0.004836262013899107
-8.040201005025132 0.006005015525654317
-7.035175879396995 0.0081518497708118
-6.030150753768851 0.010898950170042766
-5.025125628140707 0.015078450391837998
-4.02010050251257 0.021767298536152675
-3.0150753768844325 0.033111151855685465
-2.0100502512562954 0.04683135294987449
-1.0050251256281513 0.060141960668341814
-7.105427357601002e-15 0.07296411651633918
1.00502512562813 0.08457161614668077
2.010050251256274 0.09763976341860019
3.0150753768844183 0.10491239982256434
4.020100502512555 0.09572244270294282
5.025125628140692 0.07380919710187812
6.0301507537688295 0.05148518113263363
7.035175879396974 0.036012438267040876
8.040201005025118 0.02641053378678111
9.045226130653255 0.01983938488836322
10.050251256281399 0.015545716398048042
11.055276381909543 0.01226190743752777
12.06030150753768 0.01029397604613341
13.065326633165817 0.008175389619991157
14.070351758793954 0.006886582877421287
15.075376884422099 0.0056413248558331505
16.080402010050243 0.004775058406032843
17.08542713567838 0.004040615111636862
18.090452261306524 0.0034062161762531064
19.095477386934668 0.002995445808073351
20.100502512562805 0.002709436640544147
21.105527638190942 0.00231749815170783
22.11055276381908 0.0020314889841786263
23.115577889447223 0.0017984444773029532
24.120603015075368 0.001647789442555085
25.125628140703505 0.0015018423776430633
26.13065326633165 0.0012629129084725582
27.135678391959793 0.0011134348661836504
28.14070351758793 0.000988673665533051
29.145728643216074 0.0009710187786485185
30.15075376884421 0.0008097708117699389
31.15577889447235 0.0007132574301345482
32.160804020100485 0.0006379299127606206
33.16582914572862 0.0005767263048942717
34.170854271356774 0.0005284696140765876
35.17587939698491 0.0004578500665385266
36.18090452261305 0.0004284252550643161
37.1859296482412 0.0003636906698210815
38.190954773869336 0.0003566287150672842
39.19597989949747 0.00029071713736507164
40.201005025125625 0.0002718852580215852
41.20603015075376 0.0002624693183498494
42.2110552763819 0.00023657548425254815
43.216080402010036 0.00022009758982700374
44.22110552763817 0.0001847878160579605
45.226130653266324 0.0001636019517965383
46.23115577889446 0.00013535413278131247
47.2361809045226 0.00014241608753511606
48.241206030150735 0.00012946917048647282
49.24623115577887 0.00011063729114298272
50.251256281407024 0.00012358420819162964
51.25628140703516 9.298240425846683e-05
52.2613065326633 0.00011652225343782222
53.26633165829145 0.00010592932130711112
54.271356783919586 0.00010122135147124237
55.27638190954772 8.70974419636247e-05
56.281407035175874 6.473458524323456e-05
57.28643216080401 6.473458524323641e-05
58.29145728643215 8.003548720981728e-05
59.296482412060286 5.649563803046086e-05
60.30150753768842 4.7079698358716045e-05
61.306532663316574 5.414165311252346e-05
62.31155778894471 6.82655626201402e-05
63.31658291457285 4.943368327665185e-05
64.32160804020099 4.7079698358717386e-05
65.32663316582912 4.119473606387654e-05
66.33165829145727 3.884075114594074e-05
67.33668341708541 4.3548720981813575e-05
68.34170854271355 4.943368327665185e-05
69.3467336683417 2.589383409729383e-05
70.35175879396984 2.942481147419836e-05
71.35678391959797 4.001774360490864e-05
72.36180904522612 2.4716841638325925e-05
73.36683417085426 1.647789442555108e-05
74.3718592964824 2.589383409729383e-05
75.37688442211054 2.3539849179358693e-05
76.38190954773867 2.4716841638325925e-05
77.38693467336682 1.883187934348642e-05
78.39195979899496 2.000887180245489e-05
79.3969849246231 1.765488688451852e-05
80.40201005025123 2.000887180245489e-05
81.40703517587937 1.5300901966582717e-05
82.41206030150752 9.41593967174321e-06
83.41708542713566 1.1769924589679347e-05
84.4221105527638 1.1769924589679011e-05
85.42713567839195 1.5300901966582717e-05
86.43216080402009 1.5300901966583148e-05
87.43718592964822 1.0592932130711111e-05
88.44221105527637 5.884962294839506e-06
89.44723618090451 1.294691704864728e-05
90.45226130653265 8.238947212775308e-06
91.45728643216079 4.707969835871738e-06
92.46231155778892 7.061954753807408e-06
93.46733668341707 5.884962294839506e-06
94.47236180904521 9.415939671743476e-06
95.47738693467335 1.4123909507614816e-05
96.48241206030148 5.884962294839673e-06
97.48743718592962 1.0592932130711111e-05
98.49246231155777 3.530977376903704e-06
99.49748743718592 7.061954753807408e-06

-99.49748743718592 0.0
-98.4924623115578 0.0
-97.48743718592965 1.8863775105883404e-06
-96.4824120603015 0.0
-95.47738693467338 0.0
-94.47236180904522 0.0
-93.46733668341707 0.0
-92.46231155778895 0.0
-91.4572864321608 0.0
-90.45226130653268 0.0
-89.44723618090453 0.0
-88.44221105527637 0.0
-87.43718592964825 0.0
-86.4321608040201 0.0
-85.42713567839195 0.0
-84.42211055276383 1.886377510588367e-06
-83.41708542713567 0.0
-82.41206030150755 0.0
-81.4070351758794 0.0
-80.40201005025125 0.0
-79.39698492462313 0.0
-78.39195979899498 0.0
-77.38693467336682 1.886377510588367e-06
-76.3819095477387 0.0
-75.37688442211055 1.886377510588367e-06
-74.37185929648243 0.0
-73.36683417085428 1.8863775105883404e-06
-72.36180904522612 1.886377510588367e-06
-71.356783919598 0.0
-70.35175879396985 1.8863775105883404e-06
-69.3467336683417 0.0
-68.34170854271358 0.0
-67.33668341708542 5.659132531765101e-06
-66.3316582914573 1.886377510588367e-06
-65.32663316582915 3.772755021176681e-06
-64.321608040201 5.659132531765101e-06
-63.31658291457287 3.772755021176734e-06
-62.311557788944725 3.7727550211767075e-06
-61.30653266331659 5.659132531765061e-06
-60.301507537688444 5.659132531765101e-06
-59.29648241206031 1.886377510588367e-06
-58.29145728643216 5.659132531765061e-06
-57.286432160804026 1.8863775105883537e-06
-56.28140703517588 5.659132531765101e-06
-55.276381909547744 7.545510042353468e-06
-54.2713567839196 1.8863775105883537e-06
-53.26633165829146 3.7727550211767075e-06
-52.26130653266332 3.772755021176734e-06
-51.25628140703518 3.772755021176734e-06
-50.25125628140704 1.8863775105883537e-06
