s_d_bin lambda_cond_mean
-100.0 nan
-97.97979797979798 nan
-95.95959595959596 nan
-93.93939393939394 21496.357538486987
-91.91919191919192 nan
-89.8989898989899 nan
-87.87878787878788 nan
-85.85858585858585 nan
-83.83838383838383 nan
-81.81818181818181 nan
-79.79797979797979 nan
-77.77777777777777 nan
-75.75757575757575 nan
-73.73737373737373 nan
-71.71717171717171 nan
-69.69696969696969 nan
-67.67676767676767 nan
-65.65656565656565 nan
-63.63636363636363 21322.171039753706
-61.61616161616161 nan
-59.59595959595959 nan
-57.57575757575757 nan
-55.55555555555555 nan
-53.53535353535353 35028.65674397031
-51.515151515151516 nan
-49.494949494949495 nan
-47.474747474747474 38946.32457197421
-45.45454545454545 29879.222347073268
-43.43434343434343 12223.219123750707
-41.41414141414141 30176.322340714214
-39.39393939393939 21640.733732477125
-37.37373737373737 21281.242466320506
-35.35353535353535 12554.996769495914
-33.33333333333333 36231.99665047031
-31.313131313131308 21388.23996257763
-29.292929292929287 31481.344410504407
-27.272727272727266 31016.62933676157
-25.252525252525245 35406.146340769315
-23.232323232323225 26497.865204694874
-21.212121212121204 32176.222234488974
-19.191919191919183 27448.24891545648
-17.171717171717162 23824.923384028112
-15.151515151515142 20940.050655798903
-13.13131313131312 19479.79853777716
-11.1111111111111 19254.35337124105
-9.09090909090908 19933.208033139843
-7.0707070707070585 17032.29178226653
-5.050505050505038 16072.006153144881
-3.030303030303031 13672.633133841475
-1.0101010101010104 13847.064667046694
1.0101010101010104 14984.078357118568
3.030303030303031 17132.830790829255
5.050505050505052 20664.839625048346
7.070707070707073 24818.575962743675
9.090909090909093 27676.94774055006
11.111111111111114 29307.3983359881
13.131313131313135 30350.900077595805
15.151515151515156 31347.63537640622
17.171717171717177 30355.756069146326
19.191919191919197 28558.446537115684
21.212121212121218 32605.103719668336
23.23232323232324 30842.696199073824
25.25252525252526 28375.35780224315
27.27272727272728 33000.2386288939
29.2929292929293 33498.214342912
31.313131313131322 28987.294131515828
33.33333333333334 33033.573004431455
35.353535353535364 27430.93928014465
37.373737373737384 31680.647028696258
39.393939393939405 28331.323588304946
41.414141414141426 28637.516929923637
43.43434343434345 32090.766489084483
45.45454545454547 30437.148961566014
47.47474747474749 30784.918766531722
49.49494949494951 27987.787485449815
51.51515151515153 28255.564340906956
53.53535353535355 26788.224282811803
55.55555555555557 28056.323756252423
57.57575757575759 20675.92447319934
59.59595959595961 26051.204592292663
61.616161616161634 23483.930384248597
63.636363636363654 31118.10895187827
65.65656565656568 24695.98881289037
67.6767676767677 25260.53876330359
69.69696969696972 26648.716710415883
