s_d_bin lambda_cond_mean
-100.0 nan
-97.97979797979798 nan
-95.95959595959596 nan
-93.93939393939394 nan
-91.91919191919192 nan
-89.8989898989899 nan
-87.87878787878788 nan
-85.85858585858585 nan
-83.83838383838383 nan
-81.81818181818181 nan
-79.79797979797979 nan
-77.77777777777777 nan
-75.75757575757575 nan
-73.73737373737373 nan
-71.71717171717171 nan
-69.69696969696969 nan
-67.67676767676767 nan
-65.65656565656565 nan
-63.63636363636363 nan
-61.61616161616161 nan
-59.59595959595959 nan
-57.57575757575757 nan
-55.55555555555555 nan
-53.53535353535353 nan
-51.515151515151516 nan
-49.494949494949495 nan
-47.474747474747474 nan
-45.45454545454545 nan
-43.43434343434343 nan
-41.41414141414141 -130014.35199287358
-39.39393939393939 -33168.00195783205
-37.37373737373737 nan
-35.35353535353535 -46573.005614422975
-33.33333333333333 -122837.22809844125
-31.313131313131308 -143668.1853324709
-29.292929292929287 -83401.27274074123
-27.272727272727266 -108088.5532472776
-25.252525252525245 -88878.06823852453
-23.232323232323225 -97723.71797712224
-21.212121212121204 -81088.29532855948
-19.191919191919183 -84578.27572384595
-17.171717171717162 -73428.70181106224
-15.151515151515142 -77350.96569209284
-13.13131313131312 -90370.21758879612
-11.1111111111111 -90739.80750923556
-9.09090909090908 -86754.60070112185
-7.0707070707070585 -85348.37421926907
-5.050505050505038 -77067.59095955292
-3.030303030303031 -76837.28792113806
-1.0101010101010104 -75909.47258834551
1.0101010101010104 -72348.77662035963
3.030303030303031 -92057.12249510932
5.050505050505052 -113177.40499663595
7.070707070707073 -117193.3912635854
9.090909090909093 -114462.74775139018
11.111111111111114 -118964.79778318728
13.131313131313135 -112508.95739701531
15.151515151515156 -118985.94392077265
17.171717171717177 -115421.64643095256
19.191919191919197 -113363.13457396094
21.212121212121218 -107402.97787741492
23.23232323232324 -125350.57653306083
25.25252525252526 -111181.22866540503
27.27272727272728 -111110.99802970958
29.2929292929293 -127738.35647979825
31.313131313131322 -105607.62455434112
33.33333333333334 -75165.10813541476
35.353535353535364 -107091.19804650806
37.373737373737384 -98889.30694494014
39.393939393939405 -119473.90423507844
41.414141414141426 -97815.37807923609
43.43434343434345 -114432.42243847476
45.45454545454547 -79675.74343322105
47.47474747474749 -64920.399092683474
49.49494949494951 -71259.76269306727
51.51515151515153 -108414.07869882775
53.53535353535355 -68005.57611771047
55.55555555555557 -106664.50600490875
57.57575757575759 -103282.9061271693
59.59595959595961 -139422.8107448287
61.616161616161634 -99238.29826446524
63.636363636363654 -50519.08680730324
65.65656565656568 -118721.20465534642
67.6767676767677 nan
69.69696969696972 -100822.23720589347
