prod_rate_bin_x prod_rate_bin_y prod_rate_jpdf
-9974.874371859296 0.1 0.0
-9974.874371859296 0.10808080808080808 0.0
-9974.874371859296 0.11616161616161616 0.0
-9974.874371859296 0.12424242424242425 0.0
-9974.874371859296 0.13232323232323234 0.0
-9974.874371859296 0.14040404040404042 0.0
-9974.874371859296 0.1484848484848485 0.0
-9974.874371859296 0.15656565656565657 0.0
-9974.874371859296 0.16464646464646465 0.0
-9974.874371859296 0.17272727272727273 0.0
-9974.874371859296 0.1808080808080808 0.0
-9974.874371859296 0.18888888888888888 0.0
-9974.874371859296 0.19696969696969696 0.0
-9974.874371859296 0.20505050505050504 0.0
-9974.874371859296 0.21313131313131314 0.0
-9974.874371859296 0.22121212121212122 0.0
-9974.874371859296 0.2292929292929293 0.0
-9974.874371859296 0.23737373737373738 0.0
-9974.874371859296 0.24545454545454545 0.0
-9974.874371859296 0.2535353535353535 0.0
-9974.874371859296 0.26161616161616164 0.0
-9974.874371859296 0.2696969696969697 0.0
-9974.874371859296 0.2777777777777778 0.0
-9974.874371859296 0.28585858585858587 0.0
-9974.874371859296 0.29393939393939394 0.0
-9974.874371859296 0.302020202020202 0.0
-9974.874371859296 0.3101010101010101 0.0
-9974.874371859296 0.3181818181818182 0.0
-9974.874371859296 0.32626262626262625 0.0
-9974.874371859296 0.3343434343434344 0.0
-9974.874371859296 0.3424242424242424 0.0
-9974.874371859296 0.35050505050505054 0.0
-9974.874371859296 0.35858585858585856 0.0
-9974.874371859296 0.3666666666666667 0.0
-9974.874371859296 0.3747474747474747 0.0
-9974.874371859296 0.38282828282828285 0.0
-9974.874371859296 0.3909090909090909 0.0
-9974.874371859296 0.398989898989899 0.0
-9974.874371859296 0.407070707070707 0.0
-9974.874371859296 0.41515151515151516 0.0
-9974.874371859296 0.4232323232323232 0.0
-9974.874371859296 0.4313131313131313 0.0
-9974.874371859296 0.43939393939393945 0.0
-9974.874371859296 0.44747474747474747 0.0
-9974.874371859296 0.4555555555555556 0.0
-9974.874371859296 0.4636363636363636 0.0
-9974.874371859296 0.47171717171717176 0.0
-9974.874371859296 0.4797979797979798 0.0
-9974.874371859296 0.4878787878787879 0.0
-9974.874371859296 0.49595959595959593 0.0
-9974.874371859296 0.5040404040404041 0.0
-9974.874371859296 0.5121212121212121 0.0
-9974.874371859296 0.5202020202020202 0.0
-9974.874371859296 0.5282828282828282 0.0
-9974.874371859296 0.5363636363636364 0.0
-9974.874371859296 0.5444444444444444 0.0
-9974.874371859296 0.5525252525252525 0.0
-9974.874371859296 0.5606060606060607 0.0
-9974.874371859296 0.5686868686868687 0.0
-9974.874371859296 0.5767676767676768 0.0
-9974.874371859296 0.5848484848484848 0.0
-9974.874371859296 0.592929292929293 0.0
-9974.874371859296 0.601010101010101 0.0
-9974.874371859296 0.609090909090909 0.0
-9974.874371859296 0.6171717171717171 0.0
-9974.874371859296 0.6252525252525253 0.0
-9974.874371859296 0.6333333333333333 0.0
-9974.874371859296 0.6414141414141414 0.0
-9974.874371859296 0.6494949494949495 0.0
-9974.874371859296 0.6575757575757576 0.0
-9974.874371859296 0.6656565656565656 0.0
-9974.874371859296 0.6737373737373737 0.0
-9974.874371859296 0.6818181818181818 0.0
-9974.874371859296 0.6898989898989899 0.0
-9974.874371859296 0.6979797979797979 0.0
-9974.874371859296 0.706060606060606 0.0
