s_d_bin lambda_cond_mean
-100.0 nan
-97.97979797979798 nan
-95.95959595959596 nan
-93.93939393939394 nan
-91.91919191919192 nan
-89.8989898989899 nan
-87.87878787878788 nan
-85.85858585858585 6702.8869945159495
-83.83838383838383 nan
-81.81818181818181 nan
-79.79797979797979 69751.39060270334
-77.77777777777777 nan
-75.75757575757575 20289.37978150042
-73.73737373737373 nan
-71.71717171717171 nan
-69.69696969696969 nan
-67.67676767676767 49853.09712732835
-65.65656565656565 nan
-63.63636363636363 nan
-61.61616161616161 nan
-59.59595959595959 nan
-57.57575757575757 nan
-55.55555555555555 nan
-53.53535353535353 22202.363512040054
-51.515151515151516 18528.741128471665
-49.494949494949495 38645.39219504449
-47.474747474747474 44909.00377624841
-45.45454545454545 8436.346632331824
-43.43434343434343 28851.016368760647
-41.41414141414141 41297.8520734612
-39.39393939393939 20339.283308444465
-37.37373737373737 32143.252655012544
-35.35353535353535 16481.158669754826
-33.33333333333333 30862.986726766503
-31.313131313131308 16892.628420874487
-29.292929292929287 18773.667673483662
-27.272727272727266 19753.873407266965
-25.252525252525245 33612.44282154896
-23.232323232323225 26475.888275652695
-21.212121212121204 28091.507160052202
-19.191919191919183 28141.792295578787
-17.171717171717162 24507.103823110014
-15.151515151515142 22133.734549646204
-13.13131313131312 22736.3798584682
-11.1111111111111 19786.114535609806
-9.09090909090908 18105.96596174139
-7.0707070707070585 20915.39693339544
-5.050505050505038 19532.94604540801
-3.030303030303031 17994.039854797753
-1.0101010101010104 15175.349131705078
1.0101010101010104 14782.956028845945
3.030303030303031 19350.885856859066
5.050505050505052 24923.256856222128
7.070707070707073 29341.9802440782
9.090909090909093 32772.02558063918
11.111111111111114 32566.996830223565
13.131313131313135 32872.93653131218
15.151515151515156 33371.75664092636
17.171717171717177 34876.31297269643
19.191919191919197 33238.757725581796
21.212121212121218 32636.15249048554
23.23232323232324 33436.957130698494
25.25252525252526 33221.12651224767
27.27272727272728 31251.326068863607
29.2929292929293 34518.99109298644
31.313131313131322 31961.1176416633
33.33333333333334 31086.025985738983
35.353535353535364 29406.790240388327
37.373737373737384 34033.66986992872
39.393939393939405 36706.680261515
41.414141414141426 23701.294408660757
43.43434343434345 29327.237317113275
45.45454545454547 28211.870544476307
47.47474747474749 33009.142928117
49.49494949494951 21250.9695999382
51.51515151515153 17971.561580011756
53.53535353535355 32445.718714494844
55.55555555555557 34243.33516627196
57.57575757575759 33227.26101123541
59.59595959595961 33244.55068470307
61.616161616161634 41224.88275025414
63.636363636363654 25473.169421299957
65.65656565656568 14046.60514923961
67.6767676767677 35000.15088409901
