s_d_bin lambda_cond_mean
-15.0 85408.78182326083
-14.696969696969697 86535.19703715917
-14.393939393939394 86123.4247889874
-14.09090909090909 85086.42888875124
-13.787878787878787 86443.43509321232
-13.484848484848484 83687.50077075137
-13.181818181818182 85565.36332767706
-12.878787878787879 87684.1129785676
-12.575757575757576 84640.1209235124
-12.272727272727273 85081.43651446496
-11.969696969696969 85426.74176250104
-11.666666666666666 84610.28972198632
-11.363636363636363 86138.0219378747
-11.06060606060606 84096.18611059261
-10.757575757575758 84913.39095090606
-10.454545454545453 84245.11864182122
-10.151515151515152 86631.74370506172
-9.848484848484848 86421.83004294576
-9.545454545454545 85412.95730497179
-9.242424242424242 83501.0353755526
-8.93939393939394 83641.94906906823
-8.636363636363637 80892.93978230955
-8.333333333333332 82467.51340771893
-8.030303030303031 83857.05438735231
-7.727272727272727 82233.79344513205
-7.424242424242424 82684.5940494909
-7.121212121212121 82609.50423262255
-6.818181818181818 81189.76450373739
-6.515151515151516 81470.20068979188
-6.212121212121211 80806.80143002779
-5.909090909090908 80086.72537118963
-5.6060606060606055 80178.45236749532
-5.303030303030303 78084.25997957298
-5.0 78826.69597105686
-4.696969696969697 77726.9438576538
-4.3939393939393945 78443.74172338062
-4.09090909090909 76090.84950132658
-3.787878787878787 74866.9875455405
-3.4848484848484844 74496.71629973724
-3.1818181818181817 73934.05468486145
-2.878787878787879 73275.28709561782
-2.575757575757576 74042.86421415843
-2.2727272727272716 73760.89083433535
-1.9696969696969688 74320.66539522546
-1.666666666666666 74523.437280863
-1.3636363636363633 74825.15976604816
-1.0606060606060606 75412.82957006001
-0.7575757575757578 75775.47347255476
-0.45454545454545325 76974.42466622044
-0.1515151515151505 77210.91789144884
0.15151515151515227 77953.23261276454
0.45454545454545503 77394.34182609589
0.7575757575757578 78418.84400520519
1.0606060606060623 78613.11416232998
1.3636363636363633 77835.99715615083
1.6666666666666679 77942.6725719045
1.9696969696969688 77468.09097430923
2.2727272727272734 76029.4871000459
2.575757575757578 75354.29973807669
2.878787878787879 75234.99483202353
3.1818181818181834 75456.68214732397
3.4848484848484844 76086.76776153955
3.787878787878789 76761.15707191991
4.09090909090909 78190.84875519792
4.3939393939393945 79574.65278011121
4.696969696969699 81687.31096948514
5.0 83019.95549597358
5.3030303030303045 84398.705801439
5.6060606060606055 86813.63460015735
5.90909090909091 87630.97018982074
6.212121212121211 89570.87242749693
6.515151515151516 90558.86978995039
6.81818181818182 91286.4354328356
7.121212121212121 91779.65320373198
7.424242424242426 92727.47030451462
7.727272727272727 93667.18331665643
8.030303030303031 94253.41176783388
8.333333333333336 94799.4440795674
8.636363636363637 94865.52403465254
8.939393939393941 95218.51323140111
9.242424242424242 96969.80569257391
9.545454545454547 95779.41302081554
9.848484848484848 97323.34806079447
10.151515151515152 97526.95509815887
10.454545454545457 98762.99825458499
10.757575757575758 98072.06885839622
11.060606060606062 99608.36286870106
11.363636363636363 99063.58762358974
11.666666666666668 98533.13657689425
11.969696969696969 98276.60538915606
12.272727272727273 99284.88019123363
12.575757575757578 97123.67537391689
12.878787878787879 99872.59402658175
13.181818181818183 99542.83260615933
13.484848484848484 99950.75532761565
13.787878787878789 97540.37460348188
14.090909090909093 98581.54848352345
14.393939393939394 97480.29615197892
14.696969696969699 96653.69740869812
15.0 98814.29844663008

-15.0 90400.25344133485
-14.696969696969697 91767.37409350254
-14.393939393939394 87783.4189028947
-14.09090909090909 95171.67137399213
-13.787878787878787 93217.41048952524
-13.484848484848484 87873.06418464874
-13.181818181818182 87607.84466269212
-12.878787878787879 89865.4798244172
-12.575757575757576 92435.8055143996
-12.272727272727273 91306.0477315446
-11.969696969696969 89826.93875428414
-11.666666666666666 88504.63491318775
-11.363636363636363 90591.08575198815
-11.06060606060606 89076.05010851005
-10.757575757575758 90728.2182792969
-10.454545454545453 88964.12238680264
-10.151515151515152 85955.62734041068
-9.848484848484848 82422.42642695854
