lambda_bin lambda_pdf
-994974.8743718592 0.0
-984924.623115578 0.0
-974874.3718592965 0.0
-964824.1206030152 0.0
-954773.8693467337 0.0
-944723.6180904522 0.0
-934673.3668341709 0.0
-924623.1155778894 0.0
-914572.8643216081 0.0
-904522.6130653266 0.0
-894472.3618090453 0.0
-884422.1105527638 0.0
-874371.8592964825 0.0
-864321.608040201 0.0
-854271.3567839195 0.0
-844221.1055276382 0.0
-834170.8542713567 0.0
-824120.6030150754 0.0
-814070.3517587939 0.0
-804020.1005025127 0.0
-793969.8492462311 0.0
-783919.5979899499 0.0
-773869.3467336684 0.0
-763819.095477387 0.0
-753768.8442211056 0.0
-743718.592964824 0.0
-733668.3417085428 0.0
-723618.0904522613 0.0
-713567.83919598 0.0
-703517.5879396985 0.0
-693467.3366834171 0.0
-683417.0854271357 0.0
-673366.8341708543 0.0
-663316.5829145729 0.0
-653266.3316582914 0.0
-643216.0804020101 0.0
-633165.8291457286 3.4919570927965706e-10
-623115.5778894473 1.7459785463982853e-10
-613065.3266331658 3.4919570927965303e-10
-603015.0753768844 0.0
-592964.824120603 1.7459785463982652e-10
-582914.5728643216 5.237935639194917e-10
-572864.3216080402 1.0475871278389591e-09
-562814.0703517587 8.729892731991427e-10
-552763.8190954775 8.729892731991427e-10
-542713.567839196 1.7459785463982854e-09
-532663.3165829147 8.729892731991427e-10
-522613.0653266332 1.571380691758457e-09
-512562.8140703518 1.7459785463982757e-09
-502512.5628140704 3.4919570927965707e-09
-492462.311557789 5.761729203114342e-09
-482412.0603015076 8.38069702271177e-09
-472361.8090452262 9.95207771447017e-09
-462311.55778894474 1.2047251970148171e-08
-452261.30653266335 1.571380691758457e-08
-442211.05527638196 2.1824731829978566e-08
-432160.80402010056 1.920576401038114e-08
-422110.55276381917 3.003083099805051e-08
-412060.3015075378 2.2348525393898052e-08
-402010.0502512563 3.509416878260513e-08
-391959.7989949749 3.963371300324108e-08
-381909.5477386935 4.9411192863071476e-08
-371859.2964824121 5.360154137442737e-08
-361809.0452261307 6.250603196105863e-08
-351758.7939698493 7.15851204023297e-08
-341708.5427135679 8.86957101570329e-08
-331658.2914572865 1.0493331063853696e-07
-321608.0402010051 1.1034584413237164e-07
-311557.78894472367 1.4037667513042052e-07
-301507.5376884422 1.8996246584813346e-07
-291457.2864321608 2.1440616549770948e-07
-281407.0351758794 2.7795978458660705e-07
-271356.78391959803 3.598461784126866e-07
-261306.53266331664 4.609383362491474e-07
-251256.28140703525 5.732047567825572e-07
-241206.03015075385 7.08692691983064e-07
-231155.77889447246 8.275938309927873e-07
-221105.527638191 1.0440951707461627e-06
-211055.27638190956 1.2696755989408333e-06
-201005.02512562816 1.4952560271354918e-06
-190954.77386934677 1.8449755299790682e-06
-180904.52261306538 2.1892824993288102e-06
-170854.27135678398 2.619840808870627e-06
-160804.0201005026 3.0907312228342447e-06
-150753.7688442212 3.5933984463423113e-06
-140703.5175879398 4.096065669850378e-06
-130653.26633165835 4.789917544189001e-06
-120603.0150753769 5.3470592983447496e-06
-110552.7638190955 5.9722942158099755e-06
-100502.51256281411 6.532054937785266e-06
-90452.26130653272 7.07784783138937e-06
-80402.01005025132 7.649481207480168e-06
-70351.75879396993 7.935472493380207e-06
-60301.507537688536 7.89217222542953e-06
-50251.25628140714 7.44432872827837e-06
-40201.00502512575 6.126289523602304e-06
-30150.753768844297 4.134477197871092e-06
-20100.502512562845 2.0033357841373927e-06
-10050.251256281452 7.387235229811146e-07
-5.820766091346741e-11 8.415616593639736e-08
