s_d_bin lambda_cond_mean
-100.0 nan
-97.97979797979798 nan
-95.95959595959596 nan
-93.93939393939394 nan
-91.91919191919192 nan
-89.8989898989899 nan
-87.87878787878788 nan
-85.85858585858585 nan
-83.83838383838383 nan
-81.81818181818181 nan
-79.79797979797979 nan
-77.77777777777777 nan
-75.75757575757575 nan
-73.73737373737373 nan
-71.71717171717171 nan
-69.69696969696969 nan
-67.67676767676767 nan
-65.65656565656565 60324.12059469674
-63.63636363636363 nan
-61.61616161616161 nan
-59.59595959595959 nan
-57.57575757575757 nan
-55.55555555555555 nan
-53.53535353535353 42567.804700658104
-51.515151515151516 15294.413265594176
-49.494949494949495 27041.290882912697
-47.474747474747474 10736.490651383821
-45.45454545454545 37543.49597103704
-43.43434343434343 nan
-41.41414141414141 33513.44343781954
-39.39393939393939 12610.972002805795
-37.37373737373737 42643.496161350835
-35.35353535353535 58431.85354981381
-33.33333333333333 12131.715995673389
-31.313131313131308 21208.03266965056
-29.292929292929287 33796.80603371405
-27.272727272727266 20383.64230419451
-25.252525252525245 28666.38296547651
-23.232323232323225 22904.637922858827
-21.212121212121204 21701.878725812232
-19.191919191919183 23718.621025813052
-17.171717171717162 20911.708089980602
-15.151515151515142 22318.312626651004
-13.13131313131312 25581.29171512018
-11.1111111111111 20168.595537088935
-9.09090909090908 15525.679197593014
-7.0707070707070585 13768.106867665987
-5.050505050505038 17129.911702289235
-3.030303030303031 16976.172413082404
-1.0101010101010104 16872.79491958159
1.0101010101010104 16618.85345475396
3.030303030303031 16922.002406912263
5.050505050505052 18077.79783671418
7.070707070707073 22185.309618430743
9.090909090909093 22789.38310049907
11.111111111111114 26211.515686505136
13.131313131313135 26413.67117426514
15.151515151515156 27294.926871668
17.171717171717177 28312.267511493876
19.191919191919197 31560.010631342175
21.212121212121218 30031.887574838853
23.23232323232324 36817.038412192
25.25252525252526 39166.82674832158
27.27272727272728 27926.967424401973
29.2929292929293 31359.308805073786
31.313131313131322 32682.992207202224
33.33333333333334 23587.663803506788
35.353535353535364 31401.3029663533
37.373737373737384 33890.71328853581
39.393939393939405 34842.477203548995
41.414141414141426 32116.626870891738
43.43434343434345 25734.82860331862
45.45454545454547 40320.93396295906
47.47474747474749 23399.241413156047
49.49494949494951 29809.13507549352
51.51515151515153 37693.36330270066
53.53535353535355 52920.95366491606
55.55555555555557 36195.43610088283
57.57575757575759 49748.82263961894
59.59595959595961 48037.88240466139
61.616161616161634 29804.59102090356
63.636363636363654 32493.315697583756
65.65656565656568 65383.670588896595
67.6767676767677 51669.46644428856
69.69696969696972 32483.759767120035
71.71717171717174 38410.62269515003
