lambda_bin_x lambda_bin_y lambda_jpdf
-148484.84848484848 -15.0 2.1875947907522352e-08
-148484.84848484848 -14.696969696969697 2.2188461449058383e-08
-148484.84848484848 -14.393939393939394 2.7501191655170794e-08
-148484.84848484848 -14.09090909090909 2.7188678113634922e-08
-148484.84848484848 -13.787878787878787 2.906375936285112e-08
-148484.84848484848 -13.484848484848484 2.6251137489026818e-08
-148484.84848484848 -13.181818181818182 3.0313813528995256e-08
-148484.84848484848 -12.878787878787879 3.343894894435559e-08
-148484.84848484848 -12.575757575757576 4.125178748275643e-08
-148484.84848484848 -12.272727272727273 4.500194998118857e-08
-148484.84848484848 -11.969696969696969 4.2501841648900563e-08
-148484.84848484848 -11.666666666666666 5.0314680187301406e-08
-148484.84848484848 -11.363636363636363 4.56269770642609e-08
-148484.84848484848 -11.06060606060606 5.844003226723828e-08
-148484.84848484848 -10.757575757575758 5.4377356227269526e-08
-148484.84848484848 -10.454545454545453 6.219019476567104e-08
-148484.84848484848 -10.151515151515152 6.250270830720634e-08
-148484.84848484848 -9.848484848484848 6.500281663949498e-08
-148484.84848484848 -9.545454545454545 6.719041143024721e-08
-148484.84848484848 -9.242424242424242 8.531619683933717e-08
-148484.84848484848 -8.93939393939394 8.687876454701733e-08
-148484.84848484848 -8.636363636363637 9.281652183620141e-08
-148484.84848484848 -8.333333333333332 9.094144058698632e-08
-148484.84848484848 -8.030303030303031 1.0031684683306619e-07
-148484.84848484848 -7.727272727272727 9.68791978761704e-08
-148484.84848484848 -7.424242424242424 1.0406700933149918e-07
-148484.84848484848 -7.121212121212121 1.0062936037460281e-07
-148484.84848484848 -6.818181818181818 1.1281738849450812e-07
-148484.84848484848 -6.515151515151516 1.0531706349764268e-07
-148484.84848484848 -6.212121212121211 1.0812968537146761e-07
-148484.84848484848 -5.909090909090908 1.2813055202977375e-07
-148484.84848484848 -5.6060606060606055 1.2250530828212513e-07
-148484.84848484848 -5.303030303030303 1.2594295723902154e-07
-148484.84848484848 -5.0 1.2938060619591789e-07
-148484.84848484848 -4.696969696969697 1.4188114785735923e-07
-148484.84848484848 -4.3939393939393945 1.5281912181111952e-07
-148484.84848484848 -4.09090909090909 1.4969398639576007e-07
-148484.84848484848 -3.787878787878787 1.4188114785735923e-07
-148484.84848484848 -3.4848484848484844 1.7438255617710674e-07
-148484.84848484848 -3.1818181818181817 1.6906982597099415e-07
-148484.84848484848 -2.878787878787879 1.7375752909403466e-07
-148484.84848484848 -2.575757575757576 1.7031988013713728e-07
-148484.84848484848 -2.2727272727272716 1.7688266450939498e-07
-148484.84848484848 -1.9696969696969688 1.7500758326017882e-07
-148484.84848484848 -1.666666666666666 1.8844566554622822e-07
-148484.84848484848 -1.3636363636363633 1.7969528638321928e-07
-148484.84848484848 -1.0606060606060606 2.168843978260073e-07
-148484.84848484848 -0.7575757575757578 2.1813445199215013e-07
-148484.84848484848 -0.45454545454545325 2.2000953324136762e-07
-148484.84848484848 -0.1515151515151505 2.2500974990594416e-07
-148484.84848484848 0.15151515151515227 2.196970196998316e-07
-148484.84848484848 0.45454545454545503 2.3532269677663326e-07
-148484.84848484848 0.7575757575757578 2.1594685720139794e-07
-148484.84848484848 1.0606060606060623 2.1907199261676078e-07
-148484.84848484848 1.3636363636363633 2.1657188428446997e-07
-148484.84848484848 1.6666666666666679 2.218846144905851e-07
-148484.84848484848 1.9696969696969688 2.1157166761989346e-07
-148484.84848484848 2.2727272727272734 2.2469723636440683e-07
-148484.84848484848 2.575757575757578 2.0375882908149508e-07
-148484.84848484848 2.878787878787879 1.9532096346001984e-07
-148484.84848484848 3.1818181818181834 1.8782063846315728e-07
-148484.84848484848 3.4848484848484844 1.8625807075547492e-07
-148484.84848484848 3.787878787878789 1.7625763742632393e-07
-148484.84848484848 4.09090909090909 1.6000693326644825e-07
-148484.84848484848 4.3939393939393945 1.6000693326644825e-07
-148484.84848484848 4.696969696969699 1.3469333640203125e-07
